AL,PHOT,WTOF,WTON
1/01/2019 0:00,0,0,0
1/01/2019 1:00,0,0,0
1/01/2019 2:00,0,0,0
1/01/2019 3:00,0,0,0
1/01/2019 4:00,0,0,0
1/01/2019 5:00,0,0,0
1/01/2019 6:00,0.042,0,0
1/01/2019 7:00,0.19,0,0
1/01/2019 8:00,0.347,0,0
1/01/2019 9:00,0.476,0,0
1/01/2019 10:00,0.548,0,0
1/01/2019 11:00,0.581,0,0
1/01/2019 12:00,0.521,0,0
1/01/2019 13:00,0.392,0,0
1/01/2019 14:00,0.182,0,0
1/01/2019 15:00,0,0,0
1/01/2019 16:00,0,0,0
1/01/2019 17:00,0,0,0
1/01/2019 18:00,0,0,0
1/01/2019 19:00,0,0,0
1/01/2019 20:00,0,0,0
1/01/2019 21:00,0,0,0
1/01/2019 22:00,0,0,0
1/01/2019 23:00,0,0,0
2/01/2019 0:00,0,0,0
2/01/2019 1:00,0,0,0
2/01/2019 2:00,0,0,0
2/01/2019 3:00,0,0,0
2/01/2019 4:00,0,0,0
2/01/2019 5:00,0,0,0
2/01/2019 6:00,0.083,0,0
2/01/2019 7:00,0.275,0,0
2/01/2019 8:00,0.412,0,0
2/01/2019 9:00,0.467,0,0
2/01/2019 10:00,0.432,0,0
2/01/2019 11:00,0.368,0,0
2/01/2019 12:00,0.254,0,0
2/01/2019 13:00,0.149,0,0
2/01/2019 14:00,0.05,0,0
2/01/2019 15:00,0,0,0
2/01/2019 16:00,0,0,0
2/01/2019 17:00,0,0,0
2/01/2019 18:00,0,0,0
2/01/2019 19:00,0,0,0
2/01/2019 20:00,0,0,0
2/01/2019 21:00,0,0,0
2/01/2019 22:00,0,0,0
2/01/2019 23:00,0,0,0
3/01/2019 0:00,0,0,0
3/01/2019 1:00,0,0,0
3/01/2019 2:00,0,0,0
3/01/2019 3:00,0,0,0
3/01/2019 4:00,0,0,0
3/01/2019 5:00,0,0,0
3/01/2019 6:00,0.005,0,0
3/01/2019 7:00,0.051,0,0
3/01/2019 8:00,0.124,0,0
3/01/2019 9:00,0.188,0,0
3/01/2019 10:00,0.197,0,0
3/01/2019 11:00,0.178,0,0
3/01/2019 12:00,0.14,0,0
3/01/2019 13:00,0.089,0,0
3/01/2019 14:00,0.023,0,0
3/01/2019 15:00,0,0,0
3/01/2019 16:00,0,0,0
3/01/2019 17:00,0,0,0
3/01/2019 18:00,0,0,0
3/01/2019 19:00,0,0,0
3/01/2019 20:00,0,0,0
3/01/2019 21:00,0,0,0
3/01/2019 22:00,0,0,0
3/01/2019 23:00,0,0,0
4/01/2019 0:00,0,0,0
4/01/2019 1:00,0,0,0
4/01/2019 2:00,0,0,0
4/01/2019 3:00,0,0,0
4/01/2019 4:00,0,0,0
4/01/2019 5:00,0,0,0
4/01/2019 6:00,0.007,0,0
4/01/2019 7:00,0.052,0,0
4/01/2019 8:00,0.109,0,0
4/01/2019 9:00,0.157,0,0
4/01/2019 10:00,0.183,0,0
4/01/2019 11:00,0.185,0,0
4/01/2019 12:00,0.165,0,0
4/01/2019 13:00,0.113,0,0
4/01/2019 14:00,0.033,0,0
4/01/2019 15:00,0,0,0
4/01/2019 16:00,0,0,0
4/01/2019 17:00,0,0,0
4/01/2019 18:00,0,0,0
4/01/2019 19:00,0,0,0
