CY,PHOT,WTOF,WTON,HROR
1/01/2019 0:00,0,0,0.2915,
1/01/2019 1:00,0,0,0.249,
1/01/2019 2:00,0,0,0.1911,
1/01/2019 3:00,0,0,0.1487,
1/01/2019 4:00,0,0,0.115,
1/01/2019 5:00,0.001,0,0.0895,
1/01/2019 6:00,0.014,0,0.0647,
1/01/2019 7:00,0.035,0,0.0461,
1/01/2019 8:00,0.059,0,0.0281,
1/01/2019 9:00,0.082,0,0.0169,
1/01/2019 10:00,0.107,0,0.0052,
1/01/2019 11:00,0.108,0,0.0009,
1/01/2019 12:00,0.075,0,0.0001,
1/01/2019 13:00,0.029,0,0.0002,
1/01/2019 14:00,0,0,0.0007,
1/01/2019 15:00,0,0,0.0014,
1/01/2019 16:00,0,0,0.0044,
1/01/2019 17:00,0,0,0.0152,
1/01/2019 18:00,0,0,0.0322,
1/01/2019 19:00,0,0,0.0487,
1/01/2019 20:00,0,0,0.0615,
1/01/2019 21:00,0,0,0.0751,
1/01/2019 22:00,0,0,0.0882,
1/01/2019 23:00,0,0,0.105,
2/01/2019 0:00,0,0,0.1265,
2/01/2019 1:00,0,0,0.1514,
2/01/2019 2:00,0,0,0.18,
2/01/2019 3:00,0,0,0.2188,
2/01/2019 4:00,0,0,0.2799,
2/01/2019 5:00,0.012,0,0.3337,
2/01/2019 6:00,0.07,0,0.401,
2/01/2019 7:00,0.147,0,0.5019,
2/01/2019 8:00,0.178,0,0.5928,
2/01/2019 9:00,0.098,0,0.6164,
2/01/2019 10:00,0.085,0,0.6038,
2/01/2019 11:00,0.073,0,0.6066,
2/01/2019 12:00,0.044,0,0.6346,
2/01/2019 13:00,0.01,0,0.6182,
2/01/2019 14:00,0,0,0.5811,
2/01/2019 15:00,0,0,0.5579,
2/01/2019 16:00,0,0,0.5486,
2/01/2019 17:00,0,0,0.5592,
2/01/2019 18:00,0,0,0.5642,
2/01/2019 19:00,0,0,0.5359,
2/01/2019 20:00,0,0,0.4772,
2/01/2019 21:00,0,0,0.4039,
2/01/2019 22:00,0,0,0.3649,
2/01/2019 23:00,0,0,0.3372,
3/01/2019 0:00,0,0,0.339,
3/01/2019 1:00,0,0,0.3195,
3/01/2019 2:00,0,0,0.291,
3/01/2019 3:00,0,0,0.2713,
3/01/2019 4:00,0,0,0.2592,
3/01/2019 5:00,0.054,0,0.2279,
3/01/2019 6:00,0.241,0,0.1901,
3/01/2019 7:00,0.468,0,0.1823,
3/01/2019 8:00,0.557,0,0.2034,
3/01/2019 9:00,0.579,0,0.2266,
3/01/2019 10:00,0.557,0,0.2535,
3/01/2019 11:00,0.495,0,0.2834,
3/01/2019 12:00,0.372,0,0.3201,
3/01/2019 13:00,0.18,0,0.3837,
3/01/2019 14:00,0.008,0,0.4722,
3/01/2019 15:00,0,0,0.5881,
3/01/2019 16:00,0,0,0.7153,
3/01/2019 17:00,0,0,0.7995,
3/01/2019 18:00,0,0,0.8206,
3/01/2019 19:00,0,0,0.8304,
3/01/2019 20:00,0,0,0.8376,
3/01/2019 21:00,0,0,0.8218,
3/01/2019 22:00,0,0,0.8056,
3/01/2019 23:00,0,0,0.7906,
4/01/2019 0:00,0,0,0.7843,
4/01/2019 1:00,0,0,0.7823,
4/01/2019 2:00,0,0,0.7755,
4/01/2019 3:00,0,0,0.7614,
4/01/2019 4:00,0,0,0.7463,
4/01/2019 5:00,0.02,0,0.7132,
4/01/2019 6:00,0.068,0,0.6848,
4/01/2019 7:00,0.135,0,0.6581,
4/01/2019 8:00,0.137,0,0.6218,
4/01/2019 9:00,0.13,0,0.5819,
4/01/2019 10:00,0.094,0,0.5191,
4/01/2019 11:00,0.046,0,0.3823,
4/01/2019 12:00,0.03,0,0.2461,
4/01/2019 13:00,0.008,0,0.1268,
4/01/2019 14:00,0,0,0.0546,
4/01/2019 15:00,0,0,0.0253,
4/01/2019 16:00,0,0,0.0128,
4/01/2019 17:00,0,0,0.0048,
4/01/2019 18:00,0,0,0.0025,
4/01/2019 19:00,0,0,0.0023,
4/01/2019 20:00,0,0,0.0032,
4/01/2019 21:00,0,0,0.0031,
4/01/2019 22:00,0,0,0.0033,
4/01/2019 23:00,0,0,0.0067,
5/01/2019 0:00,0,0,0.0171,
5/01/2019 1:00,0,0,0.0361,
5/01/2019 2:00,0,0,0.061,
5/01/2019 3:00,0,0,0.0923,
5/01/2019 4:00,0,0,0.1295,
5/01/2019 5:00,0.069,0,0.1822,
5/01/2019 6:00,0.284,0,0.2414,
5/01/2019 7:00,0.383,0,0.3082,
5/01/2019 8:00,0.265,0,0.3225,
5/01/2019 9:00,0.205,0,0.3021,
5/01/2019 10:00,0.206,0,0.3018,
5/01/2019 11:00,0.136,0,0.2905,
5/01/2019 12:00,0.126,0,0.2698,
5/01/2019 13:00,0.055,0,0.2545,
5/01/2019 14:00,0.006,0,0.2244,
5/01/2019 15:00,0,0,0.2434,
5/01/2019 16:00,0,0,0.2603,
5/01/2019 17:00,0,0,0.2507,
5/01/2019 18:00,0,0,0.2278,
5/01/2019 19:00,0,0,0.2094,
5/01/2019 20:00,0,0,0.1854,
5/01/2019 21:00,0,0,0.1597,
5/01/2019 22:00,0,0,0.186,
5/01/2019 23:00,0,0,0.2492,
6/01/2019 0:00,0,0,0.3057,
6/01/2019 1:00,0,0,0.4035,
6/01/2019 2:00,0,0,0.5274,
6/01/2019 3:00,0,0,0.6787,
6/01/2019 4:00,0,0,0.7661,
6/01/2019 5:00,0.03,0,0.7694,
6/01/2019 6:00,0.074,0,0.758,
6/01/2019 7:00,0.066,0,0.7114,
6/01/2019 8:00,0.313,0,0.6418,
6/01/2019 9:00,0.397,0,0.6184,
6/01/2019 10:00,0.345,0,0.7113,
6/01/2019 11:00,0.159,0,0.7988,
6/01/2019 12:00,0.138,0,0.85,
6/01/2019 13:00,0.07,0,0.8649,
6/01/2019 14:00,0.005,0,0.8544,
6/01/2019 15:00,0,0,0.8457,
6/01/2019 16:00,0,0,0.853,
6/01/2019 17:00,0,0,0.846,
6/01/2019 18:00,0,0,0.8136,
6/01/2019 19:00,0,0,0.765,
6/01/2019 20:00,0,0,0.6906,
6/01/2019 21:00,0,0,0.6124,
6/01/2019 22:00,0,0,0.549,
6/01/2019 23:00,0,0,0.4628,
7/01/2019 0:00,0,0,0.3734,
7/01/2019 1:00,0,0,0.3057,
7/01/2019 2:00,0,0,0.2374,
7/01/2019 3:00,0,0,0.1827,
7/01/2019 4:00,0,0,0.1301,
7/01/2019 5:00,0.035,0,0.0905,
7/01/2019 6:00,0.088,0,0.0915,
7/01/2019 7:00,0.111,0,0.0937,
7/01/2019 8:00,0.175,0,0.0865,
7/01/2019 9:00,0.266,0,0.0985,
7/01/2019 10:00,0.18,0,0.0995,
7/01/2019 11:00,0.158,0,0.0993,
7/01/2019 12:00,0.115,0,0.0789,
7/01/2019 13:00,0.046,0,0.0639,
7/01/2019 14:00,0.004,0,0.0686,
7/01/2019 15:00,0,0,0.0786,
7/01/2019 16:00,0,0,0.0977,
7/01/2019 17:00,0,0,0.1173,
7/01/2019 18:00,0,0,0.1317,
7/01/2019 19:00,0,0,0.1393,
7/01/2019 20:00,0,0,0.1274,
7/01/2019 21:00,0,0,0.1028,
7/01/2019 22:00,0,0,0.0946,
7/01/2019 23:00,0,0,0.1244,
8/01/2019 0:00,0,0,0.2007,
8/01/2019 1:00,0,0,0.2795,
8/01/2019 2:00,0,0,0.3318,
8/01/2019 3:00,0,0,0.3555,
8/01/2019 4:00,0,0,0.5071,
8/01/2019 5:00,0.003,0,0.664,
8/01/2019 6:00,0.048,0,0.7851,
8/01/2019 7:00,0.099,0,0.859,
8/01/2019 8:00,0.327,0,0.9031,
8/01/2019 9:00,0.285,0,0.8923,
8/01/2019 10:00,0.368,0,0.8598,
8/01/2019 11:00,0.312,0,0.8479,
8/01/2019 12:00,0.214,0,0.8546,
8/01/2019 13:00,0.067,0,0.8592,
8/01/2019 14:00,0.003,0,0.8157,
8/01/2019 15:00,0,0,0.7319,
8/01/2019 16:00,0,0,0.7004,
8/01/2019 17:00,0,0,0.6981,
8/01/2019 18:00,0,0,0.7243,
8/01/2019 19:00,0,0,0.7437,
8/01/2019 20:00,0,0,0.7579,
8/01/2019 21:00,0,0,0.7559,
8/01/2019 22:00,0,0,0.7525,
8/01/2019 23:00,0,0,0.7525,
9/01/2019 0:00,0,0,0.748,
9/01/2019 1:00,0,0,0.7094,
9/01/2019 2:00,0,0,0.6291,
9/01/2019 3:00,0,0,0.5307,
9/01/2019 4:00,0,0,0.4452,
9/01/2019 5:00,0.183,0,0.3647,
9/01/2019 6:00,0.393,0,0.293,
9/01/2019 7:00,0.548,0,0.2248,
9/01/2019 8:00,0.648,0,0.1907,
9/01/2019 9:00,0.686,0,0.1732,
9/01/2019 10:00,0.67,0,0.1557,
9/01/2019 11:00,0.601,0,0.1416,
9/01/2019 12:00,0.471,0,0.1287,
9/01/2019 13:00,0.276,0,0.1078,
9/01/2019 14:00,0.05,0,0.0815,
9/01/2019 15:00,0,0,0.0469,
9/01/2019 16:00,0,0,0.0222,
9/01/2019 17:00,0,0,0.0132,
9/01/2019 18:00,0,0,0.0153,
9/01/2019 19:00,0,0,0.0179,
9/01/2019 20:00,0,0,0.013,
9/01/2019 21:00,0,0,0.0089,
9/01/2019 22:00,0,0,0.007,
9/01/2019 23:00,0,0,0.0039,
10/01/2019 0:00,0,0,0.0019,
10/01/2019 1:00,0,0,0.001,
10/01/2019 2:00,0,0,0.0005,
10/01/2019 3:00,0,0,0.0024,
10/01/2019 4:00,0,0,0.0155,
10/01/2019 5:00,0.073,0,0.0356,
10/01/2019 6:00,0.151,0,0.0598,
10/01/2019 7:00,0.315,0,0.0864,
10/01/2019 8:00,0.45,0,0.1015,
10/01/2019 9:00,0.56,0,0.1038,
10/01/2019 10:00,0.596,0,0.1017,
10/01/2019 11:00,0.516,0,0.0933,
10/01/2019 12:00,0.378,0,0.0811,
10/01/2019 13:00,0.167,0,0.0697,
10/01/2019 14:00,0.02,0,0.0651,
10/01/2019 15:00,0,0,0.0633,
10/01/2019 16:00,0,0,0.0714,
10/01/2019 17:00,0,0,0.0929,
10/01/2019 18:00,0,0,0.1083,
10/01/2019 19:00,0,0,0.1093,
10/01/2019 20:00,0,0,0.0954,
10/01/2019 21:00,0,0,0.0797,
10/01/2019 22:00,0,0,0.067,
10/01/2019 23:00,0,0,0.0631,
11/01/2019 0:00,0,0,0.061,
11/01/2019 1:00,0,0,0.0615,
11/01/2019 2:00,0,0,0.0688,
11/01/2019 3:00,0,0,0.0784,
11/01/2019 4:00,0,0,0.0859,
11/01/2019 5:00,0.053,0,0.0876,
11/01/2019 6:00,0.163,0,0.0916,
11/01/2019 7:00,0.346,0,0.0933,
11/01/2019 8:00,0.264,0,0.0802,
