AT,PHOT,WTOF,WTON,HROR
2019-01-01 00:00:00,0.0,0,0.1846,0
2019-01-01 01:00:00,0.0,0,0.2293,0
2019-01-01 02:00:00,0.0,0,0.2718,0
2019-01-01 03:00:00,0.0,0,0.3146,0
2019-01-01 04:00:00,0.0,0,0.3552,0
2019-01-01 05:00:00,0.0,0,0.4055,0
2019-01-01 06:00:00,0.0,0,0.4957,0
2019-01-01 07:00:00,0.004,0,0.5808,0
2019-01-01 08:00:00,0.026000000000000002,0,0.645,0
2019-01-01 09:00:00,0.059000000000000004,0,0.6824,0
2019-01-01 10:00:00,0.08199999999999999,0,0.6965,0
2019-01-01 11:00:00,0.08199999999999999,0,0.7245,0
2019-01-01 12:00:00,0.063,0,0.7519,0
2019-01-01 13:00:00,0.028999999999999998,0,0.7585,0
2019-01-01 14:00:00,0.004,0,0.7594,0
2019-01-01 15:00:00,0.0,0,0.7663,0
2019-01-01 16:00:00,0.0,0,0.7922,0
2019-01-01 17:00:00,0.0,0,0.8105,0
2019-01-01 18:00:00,0.0,0,0.8109999999999999,0
2019-01-01 19:00:00,0.0,0,0.8270000000000001,0
2019-01-01 20:00:00,0.0,0,0.8590000000000001,0
2019-01-01 21:00:00,0.0,0,0.8764,0
2019-01-01 22:00:00,0.0,0,0.8773,0
2019-01-01 23:00:00,0.0,0,0.8741,0
2019-01-02 00:00:00,0.0,0,0.8771,0
2019-01-02 01:00:00,0.0,0,0.8776,0
2019-01-02 02:00:00,0.0,0,0.8606,0
2019-01-02 03:00:00,0.0,0,0.8463,0
2019-01-02 04:00:00,0.0,0,0.8478,0
2019-01-02 05:00:00,0.0,0,0.8498,0
2019-01-02 06:00:00,0.0,0,0.852,0
2019-01-02 07:00:00,0.018000000000000002,0,0.8412,0
2019-01-02 08:00:00,0.076,0,0.8270000000000001,0
2019-01-02 09:00:00,0.10800000000000001,0,0.8246,0
2019-01-02 10:00:00,0.11900000000000001,0,0.8392,0
2019-01-02 11:00:00,0.10300000000000001,0,0.8278,0
2019-01-02 12:00:00,0.079,0,0.7899,0
2019-01-02 13:00:00,0.048,0,0.7252,0
2019-01-02 14:00:00,0.011000000000000001,0,0.7129,0
2019-01-02 15:00:00,0.0,0,0.7035,0
2019-01-02 16:00:00,0.0,0,0.6926,0
2019-01-02 17:00:00,0.0,0,0.6904,0
2019-01-02 18:00:00,0.0,0,0.672,0
2019-01-02 19:00:00,0.0,0,0.6329,0
2019-01-02 20:00:00,0.0,0,0.5893,0
2019-01-02 21:00:00,0.0,0,0.555,0
2019-01-02 22:00:00,0.0,0,0.5287,0
2019-01-02 23:00:00,0.0,0,0.518,0
2019-01-03 00:00:00,0.0,0,0.5014,0
2019-01-03 01:00:00,0.0,0,0.4879,0
2019-01-03 02:00:00,0.0,0,0.4727,0
2019-01-03 03:00:00,0.0,0,0.4475,0
2019-01-03 04:00:00,0.0,0,0.4497,0
2019-01-03 05:00:00,0.0,0,0.4413,0
2019-01-03 06:00:00,0.0,0,0.4309,0
2019-01-03 07:00:00,0.031,0,0.4282,0
2019-01-03 08:00:00,0.107,0,0.4613,0
2019-01-03 09:00:00,0.131,0,0.5387,0
2019-01-03 10:00:00,0.11800000000000001,0,0.5877,0
2019-01-03 11:00:00,0.106,0,0.6069,0
2019-01-03 12:00:00,0.083,0,0.6009,0
2019-01-03 13:00:00,0.048,0,0.5506,0
2019-01-03 14:00:00,0.009000000000000001,0,0.4807,0
2019-01-03 15:00:00,0.0,0,0.4565,0
2019-01-03 16:00:00,0.0,0,0.4477,0
2019-01-03 17:00:00,0.0,0,0.4146,0
2019-01-03 18:00:00,0.0,0,0.3712,0
2019-01-03 19:00:00,0.0,0,0.318,0
2019-01-03 20:00:00,0.0,0,0.2909,0
2019-01-03 21:00:00,0.0,0,0.2591,0
2019-01-03 22:00:00,0.0,0,0.2724,0
2019-01-03 23:00:00,0.0,0,0.2679,0
2019-01-04 00:00:00,0.0,0,0.2592,0
2019-01-04 01:00:00,0.0,0,0.2278,0
2019-01-04 02:00:00,0.0,0,0.1991,0
2019-01-04 03:00:00,0.0,0,0.1739,0
2019-01-04 04:00:00,0.0,0,0.1607,0
2019-01-04 05:00:00,0.0,0,0.1561,0
2019-01-04 06:00:00,0.0,0,0.1598,0
2019-01-04 07:00:00,0.031,0,0.1534,0
2019-01-04 08:00:00,0.063,0,0.1638,0
2019-01-04 09:00:00,0.075,0,0.1903,0
2019-01-04 10:00:00,0.071,0,0.2256,0
2019-01-04 11:00:00,0.055,0,0.2732,0
2019-01-04 12:00:00,0.035,0,0.3394,0
2019-01-04 13:00:00,0.013999999999999999,0,0.3771,0
2019-01-04 14:00:00,0.001,0,0.4123,0
2019-01-04 15:00:00,0.0,0,0.4495,0
2019-01-04 16:00:00,0.0,0,0.4666,0
2019-01-04 17:00:00,0.0,0,0.4718,0
2019-01-04 18:00:00,0.0,0,0.4593,0
2019-01-04 19:00:00,0.0,0,0.4266,0
2019-01-04 20:00:00,0.0,0,0.3784,0
2019-01-04 21:00:00,0.0,0,0.3633,0
