EE,PHOT,WTOF,WTON,HROR
2019-01-01 00:00:00,0.0,0,0.7716,0
2019-01-01 01:00:00,0.0,0,0.7901,0
2019-01-01 02:00:00,0.0,0,0.7807,0
2019-01-01 03:00:00,0.0,0,0.7787,0
2019-01-01 04:00:00,0.0,0,0.7578,0
2019-01-01 05:00:00,0.0,0,0.7313,0
2019-01-01 06:00:00,0.0,0,0.728,0
2019-01-01 07:00:00,0.0,0,0.7108,0
2019-01-01 08:00:00,0.006,0,0.6716,0
2019-01-01 09:00:00,0.018000000000000002,0,0.5996,0
2019-01-01 10:00:00,0.025,0,0.5285,0
2019-01-01 11:00:00,0.02,0,0.465,0
2019-01-01 12:00:00,0.006,0,0.4485,0
2019-01-01 13:00:00,0.0,0,0.4483,0
2019-01-01 14:00:00,0.0,0,0.4241,0
2019-01-01 15:00:00,0.0,0,0.4231,0
2019-01-01 16:00:00,0.0,0,0.4278,0
2019-01-01 17:00:00,0.0,0,0.4379,0
2019-01-01 18:00:00,0.0,0,0.43,0
2019-01-01 19:00:00,0.0,0,0.4121,0
2019-01-01 20:00:00,0.0,0,0.409,0
2019-01-01 21:00:00,0.0,0,0.41700000000000004,0
2019-01-01 22:00:00,0.0,0,0.4122,0
2019-01-01 23:00:00,0.0,0,0.4019,0
2019-01-02 00:00:00,0.0,0,0.4153,0
2019-01-02 01:00:00,0.0,0,0.4528,0
2019-01-02 02:00:00,0.0,0,0.5017,0
2019-01-02 03:00:00,0.0,0,0.5494,0
2019-01-02 04:00:00,0.0,0,0.5843,0
2019-01-02 05:00:00,0.0,0,0.6154,0
2019-01-02 06:00:00,0.0,0,0.6513,0
2019-01-02 07:00:00,0.0,0,0.6976,0
2019-01-02 08:00:00,0.008,0,0.7494,0
2019-01-02 09:00:00,0.017,0,0.7817,0
2019-01-02 10:00:00,0.021,0,0.816,0
2019-01-02 11:00:00,0.015,0,0.8347,0
2019-01-02 12:00:00,0.005,0,0.8539,0
2019-01-02 13:00:00,0.0,0,0.8637,0
2019-01-02 14:00:00,0.0,0,0.8649,0
2019-01-02 15:00:00,0.0,0,0.868,0
2019-01-02 16:00:00,0.0,0,0.872,0
2019-01-02 17:00:00,0.0,0,0.8677,0
2019-01-02 18:00:00,0.0,0,0.8555,0
2019-01-02 19:00:00,0.0,0,0.8494,0
2019-01-02 20:00:00,0.0,0,0.8409,0
2019-01-02 21:00:00,0.0,0,0.8325,0
2019-01-02 22:00:00,0.0,0,0.8223,0
2019-01-02 23:00:00,0.0,0,0.8157,0
2019-01-03 00:00:00,0.0,0,0.8079999999999999,0
2019-01-03 01:00:00,0.0,0,0.8002,0
2019-01-03 02:00:00,0.0,0,0.7866,0
2019-01-03 03:00:00,0.0,0,0.7677,0
2019-01-03 04:00:00,0.0,0,0.7452,0
2019-01-03 05:00:00,0.0,0,0.728,0
2019-01-03 06:00:00,0.0,0,0.7119,0
2019-01-03 07:00:00,0.019,0,0.6891,0
2019-01-03 08:00:00,0.11699999999999999,0,0.665,0
2019-01-03 09:00:00,0.184,0,0.6434,0
2019-01-03 10:00:00,0.192,0,0.6151,0
2019-01-03 11:00:00,0.149,0,0.5759,0
2019-01-03 12:00:00,0.068,0,0.5277,0
2019-01-03 13:00:00,0.003,0,0.4779,0
2019-01-03 14:00:00,0.0,0,0.4207,0
2019-01-03 15:00:00,0.0,0,0.3558,0
2019-01-03 16:00:00,0.0,0,0.2879,0
2019-01-03 17:00:00,0.0,0,0.2102,0
2019-01-03 18:00:00,0.0,0,0.1533,0
2019-01-03 19:00:00,0.0,0,0.1079,0
2019-01-03 20:00:00,0.0,0,0.0693,0
2019-01-03 21:00:00,0.0,0,0.0479,0
2019-01-03 22:00:00,0.0,0,0.0428,0
2019-01-03 23:00:00,0.0,0,0.0665,0
2019-01-04 00:00:00,0.0,0,0.1158,0
2019-01-04 01:00:00,0.0,0,0.1789,0
2019-01-04 02:00:00,0.0,0,0.2362,0
2019-01-04 03:00:00,0.0,0,0.2879,0
2019-01-04 04:00:00,0.0,0,0.3073,0
2019-01-04 05:00:00,0.0,0,0.298,0
2019-01-04 06:00:00,0.0,0,0.2795,0
2019-01-04 07:00:00,0.001,0,0.2542,0
2019-01-04 08:00:00,0.013000000000000001,0,0.2295,0
2019-01-04 09:00:00,0.024,0,0.2172,0
2019-01-04 10:00:00,0.025,0,0.2068,0
