ES,PHOT,WTOF,WTON,HROR
1/01/2019 0:00,0,0,0.2379,
1/01/2019 1:00,0,0,0.2399,
1/01/2019 2:00,0,0,0.2394,
1/01/2019 3:00,0,0,0.2393,
1/01/2019 4:00,0,0,0.2415,
1/01/2019 5:00,0,0,0.2417,
1/01/2019 6:00,0,0,0.2369,
1/01/2019 7:00,0.009,0,0.2284,
1/01/2019 8:00,0.187,0,0.2012,
1/01/2019 9:00,0.361,0,0.129,
1/01/2019 10:00,0.479,0,0.0773,
1/01/2019 11:00,0.539,0,0.0702,
1/01/2019 12:00,0.545,0,0.0685,
1/01/2019 13:00,0.501,0,0.0664,
1/01/2019 14:00,0.406,0,0.065,
1/01/2019 15:00,0.254,0,0.0684,
1/01/2019 16:00,0.064,0,0.0976,
1/01/2019 17:00,0,0,0.1278,
1/01/2019 18:00,0,0,0.1442,
1/01/2019 19:00,0,0,0.1596,
1/01/2019 20:00,0,0,0.1798,
1/01/2019 21:00,0,0,0.2029,
1/01/2019 22:00,0,0,0.2273,
1/01/2019 23:00,0,0,0.2499,
2/01/2019 0:00,0,0,0.2664,
2/01/2019 1:00,0,0,0.2822,
2/01/2019 2:00,0,0,0.2983,
2/01/2019 3:00,0,0,0.3187,
2/01/2019 4:00,0,0,0.3381,
2/01/2019 5:00,0,0,0.3526,
2/01/2019 6:00,0,0,0.3571,
2/01/2019 7:00,0.01,0,0.3601,
2/01/2019 8:00,0.179,0,0.3438,
2/01/2019 9:00,0.355,0,0.3122,
2/01/2019 10:00,0.48,0,0.3221,
2/01/2019 11:00,0.547,0,0.3213,
2/01/2019 12:00,0.556,0,0.3186,
2/01/2019 13:00,0.511,0,0.3162,
2/01/2019 14:00,0.412,0,0.3158,
2/01/2019 15:00,0.256,0,0.3063,
2/01/2019 16:00,0.063,0,0.3341,
2/01/2019 17:00,0,0,0.3745,
2/01/2019 18:00,0,0,0.3812,
2/01/2019 19:00,0,0,0.3804,
2/01/2019 20:00,0,0,0.3752,
2/01/2019 21:00,0,0,0.3617,
2/01/2019 22:00,0,0,0.3387,
2/01/2019 23:00,0,0,0.3194,
3/01/2019 0:00,0,0,0.3019,
3/01/2019 1:00,0,0,0.2898,
3/01/2019 2:00,0,0,0.2754,
3/01/2019 3:00,0,0,0.2575,
3/01/2019 4:00,0,0,0.2454,
