FI,PHOT,WTOF,WTON,HROR
2019-01-01 0:00,0,0.6748,0.6753,0.311830601
2019-01-01 1:00,0,0.6279,0.6242,0.311830601
2019-01-01 2:00,0,0.5358,0.5288,0.311830601
2019-01-01 3:00,0,0.416,0.42,0.311830601
2019-01-01 4:00,0,0.2904,0.3138,0.311830601
2019-01-01 5:00,0,0.1287,0.241,0.311830601
2019-01-01 6:00,0,0.0591,0.1776,0.311830601
2019-01-01 7:00,0,0.0689,0.1472,0.311830601
2019-01-01 8:00,0,0.1443,0.1518,0.311830601
2019-01-01 9:00,0.002,0.2966,0.202,0.311830601
2019-01-01 10:00,0.004,0.4862,0.2858,0.311830601
2019-01-01 11:00,0.002,0.69,0.3994,0.311830601
2019-01-01 12:00,0,0.8018,0.5158,0.311830601
2019-01-01 13:00,0,0.8728,0.6581,0.311830601
2019-01-01 14:00,0,0.9068,0.7431,0.311830601
2019-01-01 15:00,0,0.9332,0.817,0.311830601
2019-01-01 16:00,0,0.9428,0.857,0.311830601
2019-01-01 17:00,0,0.9453,0.8807,0.311830601
2019-01-01 18:00,0,0.9424,0.8869,0.311830601
2019-01-01 19:00,0,0.9319,0.8869,0.311830601
2019-01-01 20:00,0,0.9172,0.8838,0.311830601
2019-01-01 21:00,0,0.8802,0.8771,0.311830601
2019-01-01 22:00,0,0.8346,0.8703,0.311830601
2019-01-01 23:00,0,0.7817,0.8692,0.311830601
2019-01-02 0:00,0,0.7268,0.859,0.313331699
2019-01-02 1:00,0,0.7069,0.8403,0.313331699
2019-01-02 2:00,0,0.7251,0.8207,0.313331699
2019-01-02 3:00,0,0.7162,0.7996,0.313331699
2019-01-02 4:00,0,0.6954,0.7816,0.313331699
2019-01-02 5:00,0,0.6902,0.7722,0.313331699
2019-01-02 6:00,0,0.6952,0.7631,0.313331699
2019-01-02 7:00,0,0.6862,0.7428,0.313331699
2019-01-02 8:00,0.005,0.6658,0.7154,0.313331699
2019-01-02 9:00,0.028,0.6589,0.6969,0.313331699
2019-01-02 10:00,0.043,0.6468,0.6693,0.313331699
2019-01-02 11:00,0.031,0.6358,0.6459,0.313331699
2019-01-02 12:00,0.008,0.6285,0.6338,0.313331699
2019-01-02 13:00,0,0.6175,0.6119,0.313331699
2019-01-02 14:00,0,0.6091,0.5912,0.313331699
2019-01-02 15:00,0,0.6106,0.5604,0.313331699
