Unnamed: 0,PHOT,WTOF,WTON,HROR
2019-01-01 0:00,0,0.1069,0.1029,0.30925145
2019-01-01 1:00,0,0.1138,0.1053,0.30925145
2019-01-01 2:00,0,0.1039,0.1083,0.30925145
2019-01-01 3:00,0,0.0916,0.1127,0.30925145
2019-01-01 4:00,0,0.0703,0.1194,0.30925145
2019-01-01 5:00,0,0.0498,0.127,0.30925145
2019-01-01 6:00,0,0.0425,0.1314,0.30925145
2019-01-01 7:00,0.008,0.0503,0.1337,0.30925145
2019-01-01 8:00,0.062,0.0588,0.1244,0.30925145
2019-01-01 9:00,0.137,0.0503,0.106,0.30925145
2019-01-01 10:00,0.204,0.0588,0.1099,0.30925145
2019-01-01 11:00,0.25,0.1145,0.1288,0.30925145
2019-01-01 12:00,0.262,0.1266,0.1482,0.30925145
2019-01-01 13:00,0.231,0.1447,0.1561,0.30925145
2019-01-01 14:00,0.153,0.1643,0.1695,0.30925145
2019-01-01 15:00,0.05,0.2142,0.1913,0.30925145
2019-01-01 16:00,0,0.2867,0.2186,0.30925145
2019-01-01 17:00,0,0.313,0.2339,0.30925145
2019-01-01 18:00,0,0.3306,0.2403,0.30925145
2019-01-01 19:00,0,0.3334,0.2439,0.30925145
2019-01-01 20:00,0,0.3197,0.2496,0.30925145
2019-01-01 21:00,0,0.3238,0.2598,0.30925145
2019-01-01 22:00,0,0.317,0.269,0.30925145
2019-01-01 23:00,0,0.2638,0.2722,0.30925145
2019-01-02 0:00,0,0.2021,0.2737,0.286942005
2019-01-02 1:00,0,0.175,0.2826,0.286942005
2019-01-02 2:00,0,0.2221,0.2922,0.286942005
2019-01-02 3:00,0,0.2971,0.2971,0.286942005
2019-01-02 4:00,0,0.4041,0.302,0.286942005
2019-01-02 5:00,0,0.5178,0.3062,0.286942005
2019-01-02 6:00,0,0.6182,0.3173,0.286942005
2019-01-02 7:00,0.012,0.6932,0.3239,0.286942005
2019-01-02 8:00,0.105,0.6619,0.3026,0.286942005
2019-01-02 9:00,0.266,0.4361,0.2515,0.286942005
2019-01-02 10:00,0.392,0.5222,0.2414,0.286942005
2019-01-02 11:00,0.445,0.5649,0.2737,0.286942005
2019-01-02 12:00,0.433,0.5236,0.3008,0.286942005
2019-01-02 13:00,0.365,0.4961,0.3061,0.286942005
2019-01-02 14:00,0.242,0.4946,0.2882,0.286942005
2019-01-02 15:00,0.087,0.5236,0.3046,0.286942005
2019-01-02 16:00,0,0.6076,0.3453,0.286942005
2019-01-02 17:00,0,0.6222,0.3513,0.286942005
2019-01-02 18:00,0,0.6129,0.336,0.286942005
2019-01-02 19:00,0,0.6049,0.3135,0.286942005
2019-01-02 20:00,0,0.583,0.2895,0.286942005
2019-01-02 21:00,0,0.5579,0.2634,0.286942005
2019-01-02 22:00,0,0.5494,0.2327,0.286942005
2019-01-02 23:00,0,0.5408,0.1987,0.286942005
2019-01-03 0:00,0,0.5236,0.1708,0.351094921
2019-01-03 1:00,0,0.4698,0.1486,0.351094921
2019-01-03 2:00,0,0.3584,0.1281,0.351094921
2019-01-03 3:00,0,0.2997,0.1177,0.351094921
2019-01-03 4:00,0,0.3279,0.1135,0.351094921
2019-01-03 5:00,0,0.2764,0.1132,0.351094921
2019-01-03 6:00,0,0.2777,0.1129,0.351094921
2019-01-03 7:00,0.014,0.3252,0.1146,0.351094921
2019-01-03 8:00,0.122,0.3768,0.1096,0.351094921
2019-01-03 9:00,0.255,0.3472,0.1026,0.351094921
2019-01-03 10:00,0.355,0.2932,0.102,0.351094921
2019-01-03 11:00,0.415,0.2614,0.1205,0.351094921
2019-01-03 12:00,0.423,0.357,0.1438,0.351094921
2019-01-03 13:00,0.365,0.4654,0.158,0.351094921
2019-01-03 14:00,0.247,0.5294,0.1613,0.351094921
2019-01-03 15:00,0.09,0.5663,0.1784,0.351094921
2019-01-03 16:00,0.001,0.6222,0.2145,0.351094921
2019-01-03 17:00,0,0.6392,0.2347,0.351094921
2019-01-03 18:00,0,0.6366,0.2384,0.351094921
2019-01-03 19:00,0,0.634,0.2369,0.351094921
2019-01-03 20:00,0,0.6262,0.2296,0.351094921
2019-01-03 21:00,0,0.6519,0.2085,0.351094921
2019-01-03 22:00,0,0.6607,0.1744,0.351094921
2019-01-03 23:00,0,0.6379,0.153,0.351094921
2019-01-04 0:00,0,0.5677,0.1443,0.40308512
2019-01-04 1:00,0,0.4654,0.1279,0.40308512
2019-01-04 2:00,0,0.3444,0.1122,0.40308512
2019-01-04 3:00,0,0.332,0.1075,0.40308512
2019-01-04 4:00,0,0.3998,0.1115,0.40308512
2019-01-04 5:00,0,0.3955,0.1123,0.40308512
2019-01-04 6:00,0,0.3157,0.1073,0.40308512
2019-01-04 7:00,0.009,0.2419,0.1039,0.40308512
2019-01-04 8:00,0.094,0.2919,0.0983,0.40308512
2019-01-04 9:00,0.218,0.3184,0.0953,0.40308512
2019-01-04 10:00,0.323,0.2455,0.0983,0.40308512
2019-01-04 11:00,0.371,0.2198,0.0986,0.40308512
2019-01-04 12:00,0.36,0.2626,0.1062,0.40308512
2019-01-04 13:00,0.289,0.3117,0.1156,0.40308512
2019-01-04 14:00,0.176,0.332,0.1179,0.40308512
2019-01-04 15:00,0.054,0.3103,0.1339,0.40308512
2019-01-04 16:00,0,0.3711,0.1664,0.40308512
2019-01-04 17:00,0,0.4303,0.1822,0.40308512
2019-01-04 18:00,0,0.4551,0.1861,0.40308512
2019-01-04 19:00,0,0.4288,0.1841,0.40308512
2019-01-04 20:00,0,0.3811,0.1815,0.40308512
2019-01-04 21:00,0,0.3472,0.1787,0.40308512
2019-01-04 22:00,0,0.3361,0.1763,0.40308512
2019-01-04 23:00,0,0.313,0.1667,0.40308512
