HR,PHOT,WTOF,WTON,HROR
2019-01-01 0:00,0,0,0.3228,0.525189586
2019-01-01 1:00,0,0,0.3059,0.525189586
2019-01-01 2:00,0,0,0.2865,0.525189586
2019-01-01 3:00,0,0,0.3004,0.525189586
2019-01-01 4:00,0,0,0.3143,0.525189586
2019-01-01 5:00,0,0,0.3232,0.525189586
2019-01-01 6:00,0.002,0,0.3054,0.525189586
2019-01-01 7:00,0.101,0,0.2608,0.525189586
2019-01-01 8:00,0.26,0,0.2047,0.525189586
2019-01-01 9:00,0.388,0,0.1526,0.525189586
2019-01-01 10:00,0.445,0,0.0887,0.525189586
2019-01-01 11:00,0.399,0,0.0469,0.525189586
2019-01-01 12:00,0.31,0,0.024,0.525189586
2019-01-01 13:00,0.192,0,0.0147,0.525189586
2019-01-01 14:00,0.072,0,0.0156,0.525189586
2019-01-01 15:00,0,0,0.0214,0.525189586
2019-01-01 16:00,0,0,0.0269,0.525189586
2019-01-01 17:00,0,0,0.0308,0.525189586
2019-01-01 18:00,0,0,0.0298,0.525189586
2019-01-01 19:00,0,0,0.0299,0.525189586
2019-01-01 20:00,0,0,0.0297,0.525189586
2019-01-01 21:00,0,0,0.0277,0.525189586
2019-01-01 22:00,0,0,0.0257,0.525189586
2019-01-01 23:00,0,0,0.0237,0.525189586
2019-01-02 0:00,0,0,0.0202,0.474468545
2019-01-02 1:00,0,0,0.017,0.474468545
2019-01-02 2:00,0,0,0.0146,0.474468545
2019-01-02 3:00,0,0,0.0182,0.474468545
2019-01-02 4:00,0,0,0.0319,0.474468545
2019-01-02 5:00,0,0,0.062,0.474468545
2019-01-02 6:00,0.001,0,0.0823,0.474468545
2019-01-02 7:00,0.099,0,0.0956,0.474468545
2019-01-02 8:00,0.19,0,0.1147,0.474468545
2019-01-02 9:00,0.231,0,0.2047,0.474468545
2019-01-02 10:00,0.264,0,0.2774,0.474468545
2019-01-02 11:00,0.256,0,0.318,0.474468545
2019-01-02 12:00,0.229,0,0.3611,0.474468545
2019-01-02 13:00,0.176,0,0.4212,0.474468545
2019-01-02 14:00,0.076,0,0.499,0.474468545
2019-01-02 15:00,0,0,0.5448,0.474468545
2019-01-02 16:00,0,0,0.5231,0.474468545
2019-01-02 17:00,0,0,0.5103,0.474468545
2019-01-02 18:00,0,0,0.5156,0.474468545
2019-01-02 19:00,0,0,0.495,0.474468545
2019-01-02 20:00,0,0,0.4623,0.474468545
2019-01-02 21:00,0,0,0.4654,0.474468545
2019-01-02 22:00,0,0,0.5332,0.474468545
2019-01-02 23:00,0,0,0.5981,0.474468545
2019-01-03 0:00,0,0,0.6558,0.437716424
2019-01-03 1:00,0,0,0.6992,0.437716424
2019-01-03 2:00,0,0,0.7359,0.437716424
2019-01-03 3:00,0,0,0.7633,0.437716424
2019-01-03 4:00,0,0,0.7762,0.437716424
2019-01-03 5:00,0,0,0.7804,0.437716424
2019-01-03 6:00,0.004,0,0.7737,0.437716424
2019-01-03 7:00,0.12,0,0.767,0.437716424
2019-01-03 8:00,0.256,0,0.7779,0.437716424
2019-01-03 9:00,0.342,0,0.7783,0.437716424
2019-01-03 10:00,0.378,0,0.7414,0.437716424
2019-01-03 11:00,0.334,0,0.6998,0.437716424
2019-01-03 12:00,0.288,0,0.6606,0.437716424
2019-01-03 13:00,0.218,0,0.6138,0.437716424
2019-01-03 14:00,0.093,0,0.5468,0.437716424
2019-01-03 15:00,0.001,0,0.5029,0.437716424
2019-01-03 16:00,0,0,0.4613,0.437716424
2019-01-03 17:00,0,0,0.4039,0.437716424
2019-01-03 18:00,0,0,0.3333,0.437716424
2019-01-03 19:00,0,0,0.2782,0.437716424
2019-01-03 20:00,0,0,0.2208,0.437716424
2019-01-03 21:00,0,0,0.2345,0.437716424
2019-01-03 22:00,0,0,0.3135,0.437716424
2019-01-03 23:00,0,0,0.4063,0.437716424
2019-01-04 0:00,0,0,0.4447,0.437332058
2019-01-04 1:00,0,0,0.4645,0.437332058
2019-01-04 2:00,0,0,0.4988,0.437332058
2019-01-04 3:00,0,0,0.5134,0.437332058
2019-01-04 4:00,0,0,0.5137,0.437332058
2019-01-04 5:00,0,0,0.5165,0.437332058
2019-01-04 6:00,0.003,0,0.5274,0.437332058
2019-01-04 7:00,0.112,0,0.5334,0.437332058
2019-01-04 8:00,0.234,0,0.5447,0.437332058
2019-01-04 9:00,0.321,0,0.5531,0.437332058
2019-01-04 10:00,0.354,0,0.5158,0.437332058
2019-01-04 11:00,0.332,0,0.4695,0.437332058
2019-01-04 12:00,0.284,0,0.4359,0.437332058
2019-01-04 13:00,0.206,0,0.4025,0.437332058
2019-01-04 14:00,0.085,0,0.3402,0.437332058
2019-01-04 15:00,0.001,0,0.3095,0.437332058
2019-01-04 16:00,0,0,0.3068,0.437332058
2019-01-04 17:00,0,0,0.2925,0.437332058
2019-01-04 18:00,0,0,0.2655,0.437332058
2019-01-04 19:00,0,0,0.2239,0.437332058
2019-01-04 20:00,0,0,0.1801,0.437332058
2019-01-04 21:00,0,0,0.1482,0.437332058
2019-01-04 22:00,0,0,0.1251,0.437332058
2019-01-04 23:00,0,0,0.1133,0.437332058
2019-01-05 0:00,0,0,0.1056,0.449460813
2019-01-05 1:00,0,0,0.1079,0.449460813
2019-01-05 2:00,0,0,0.1222,0.449460813
2019-01-05 3:00,0,0,0.1238,0.449460813
2019-01-05 4:00,0,0,0.1151,0.449460813
2019-01-05 5:00,0,0,0.0989,0.449460813
2019-01-05 6:00,0,0,0.0823,0.449460813
2019-01-05 7:00,0.032,0,0.0599,0.449460813
2019-01-05 8:00,0.096,0,0.0383,0.449460813
