HR,PHOT,WTOF,WTON,HROR
2019-01-01 00:00:00,0.0,0,0.1258,0
2019-01-01 01:00:00,0.0,0,0.08800000000000001,0
2019-01-01 02:00:00,0.0,0,0.0567,0
2019-01-01 03:00:00,0.0,0,0.0391,0
2019-01-01 04:00:00,0.0,0,0.0353,0
2019-01-01 05:00:00,0.0,0,0.0561,0
2019-01-01 06:00:00,0.006,0,0.1141,0
2019-01-01 07:00:00,0.14300000000000002,0,0.1705,0
2019-01-01 08:00:00,0.28800000000000003,0,0.1815,0
2019-01-01 09:00:00,0.379,0,0.2079,0
2019-01-01 10:00:00,0.37200000000000005,0,0.2362,0
2019-01-01 11:00:00,0.322,0,0.2639,0
2019-01-01 12:00:00,0.24100000000000002,0,0.3078,0
2019-01-01 13:00:00,0.131,0,0.3881,0
2019-01-01 14:00:00,0.022000000000000002,0,0.5222,0
2019-01-01 15:00:00,0.0,0,0.6264,0
2019-01-01 16:00:00,0.0,0,0.6379,0
2019-01-01 17:00:00,0.0,0,0.6093,0
2019-01-01 18:00:00,0.0,0,0.6033,0
2019-01-01 19:00:00,0.0,0,0.6247,0
2019-01-01 20:00:00,0.0,0,0.6561,0
2019-01-01 21:00:00,0.0,0,0.6574,0
2019-01-01 22:00:00,0.0,0,0.6555,0
2019-01-01 23:00:00,0.0,0,0.6471,0
2019-01-02 00:00:00,0.0,0,0.6411,0
2019-01-02 01:00:00,0.0,0,0.6511,0
2019-01-02 02:00:00,0.0,0,0.6984,0
2019-01-02 03:00:00,0.0,0,0.7141,0
2019-01-02 04:00:00,0.0,0,0.7371,0
2019-01-02 05:00:00,0.0,0,0.7779,0
2019-01-02 06:00:00,0.003,0,0.7836,0
2019-01-02 07:00:00,0.076,0,0.8053,0
2019-01-02 08:00:00,0.162,0,0.8236,0
2019-01-02 09:00:00,0.20800000000000002,0,0.8825,0
2019-01-02 10:00:00,0.209,0,0.9238,0
2019-01-02 11:00:00,0.21100000000000002,0,0.9287,0
2019-01-02 12:00:00,0.177,0,0.9159999999999999,0
2019-01-02 13:00:00,0.105,0,0.8899,0
2019-01-02 14:00:00,0.024,0,0.8662,0
2019-01-02 15:00:00,0.0,0,0.8578,0
2019-01-02 16:00:00,0.0,0,0.8446,0
2019-01-02 17:00:00,0.0,0,0.8318,0
2019-01-02 18:00:00,0.0,0,0.8237,0
2019-01-02 19:00:00,0.0,0,0.8184,0
2019-01-02 20:00:00,0.0,0,0.8116,0
2019-01-02 21:00:00,0.0,0,0.8016,0
2019-01-02 22:00:00,0.0,0,0.7723,0
2019-01-02 23:00:00,0.0,0,0.7291,0
2019-01-03 00:00:00,0.0,0,0.7082,0
2019-01-03 01:00:00,0.0,0,0.7315,0
2019-01-03 02:00:00,0.0,0,0.809,0
2019-01-03 03:00:00,0.0,0,0.7952,0
2019-01-03 04:00:00,0.0,0,0.8084,0
2019-01-03 05:00:00,0.0,0,0.8364,0
2019-01-03 06:00:00,0.001,0,0.8387,0
2019-01-03 07:00:00,0.064,0,0.8166,0
2019-01-03 08:00:00,0.17,0,0.8461,0
2019-01-03 09:00:00,0.256,0,0.8762,0
2019-01-03 10:00:00,0.28800000000000003,0,0.8696,0
2019-01-03 11:00:00,0.254,0,0.8422,0
2019-01-03 12:00:00,0.195,0,0.7744,0
2019-01-03 13:00:00,0.105,0,0.6394,0
2019-01-03 14:00:00,0.018000000000000002,0,0.556,0
2019-01-03 15:00:00,0.0,0,0.5081,0
2019-01-03 16:00:00,0.0,0,0.4982,0
2019-01-03 17:00:00,0.0,0,0.5166,0
2019-01-03 18:00:00,0.0,0,0.5275,0
2019-01-03 19:00:00,0.0,0,0.5393,0
2019-01-03 20:00:00,0.0,0,0.5575,0
2019-01-03 21:00:00,0.0,0,0.532,0
2019-01-03 22:00:00,0.0,0,0.5094,0
2019-01-03 23:00:00,0.0,0,0.5301,0
2019-01-04 00:00:00,0.0,0,0.5244,0
2019-01-04 01:00:00,0.0,0,0.5109,0
2019-01-04 02:00:00,0.0,0,0.5176,0
2019-01-04 03:00:00,0.0,0,0.5329999999999999,0
2019-01-04 04:00:00,0.0,0,0.5347,0
2019-01-04 05:00:00,0.0,0,0.5287,0
2019-01-04 06:00:00,0.005,0,0.5194,0
2019-01-04 07:00:00,0.142,0,0.5007,0
2019-01-04 08:00:00,0.289,0,0.6273,0
2019-01-04 09:00:00,0.382,0,0.6193,0
2019-01-04 10:00:00,0.406,0,0.5533,0
2019-01-04 11:00:00,0.402,0,0.488,0
2019-01-04 12:00:00,0.33899999999999997,0,0.4158,0
2019-01-04 13:00:00,0.22,0,0.345,0
2019-01-04 14:00:00,0.055,0,0.2316,0
2019-01-04 15:00:00,0.0,0,0.1548,0
2019-01-04 16:00:00,0.0,0,0.0889,0
2019-01-04 17:00:00,0.0,0,0.0443,0
2019-01-04 18:00:00,0.0,0,0.0382,0
2019-01-04 19:00:00,0.0,0,0.0658,0
2019-01-04 20:00:00,0.0,0,0.1155,0
2019-01-04 21:00:00,0.0,0,0.16399999999999998,0
2019-01-04 22:00:00,0.0,0,0.1955,0
2019-01-04 23:00:00,0.0,0,0.2141,0
2019-01-05 00:00:00,0.0,0,0.2276,0
2019-01-05 01:00:00,0.0,0,0.2405,0
2019-01-05 02:00:00,0.0,0,0.2583,0
2019-01-05 03:00:00,0.0,0,0.2593,0
2019-01-05 04:00:00,0.0,0,0.2641,0
2019-01-05 05:00:00,0.0,0,0.2597,0
2019-01-05 06:00:00,0.0,0,0.2574,0
2019-01-05 07:00:00,0.013000000000000001,0,0.2686,0
2019-01-05 08:00:00,0.032,0,0.3036,0
2019-01-05 09:00:00,0.045,0,0.3964,0
2019-01-05 10:00:00,0.048,0,0.53,0
2019-01-05 11:00:00,0.039,0,0.6079,0
2019-01-05 12:00:00,0.025,0,0.5992,0
2019-01-05 13:00:00,0.011000000000000001,0,0.5641,0
2019-01-05 14:00:00,0.001,0,0.5743,0
2019-01-05 15:00:00,0.0,0,0.6285,0
2019-01-05 16:00:00,0.0,0,0.6658,0
2019-01-05 17:00:00,0.0,0,0.6817,0
2019-01-05 18:00:00,0.0,0,0.6929,0
2019-01-05 19:00:00,0.0,0,0.705,0
2019-01-05 20:00:00,0.0,0,0.6648,0
2019-01-05 21:00:00,0.0,0,0.5862,0
2019-01-05 22:00:00,0.0,0,0.5188,0
2019-01-05 23:00:00,0.0,0,0.4389,0
2019-01-06 00:00:00,0.0,0,0.3526,0
2019-01-06 01:00:00,0.0,0,0.3425,0
2019-01-06 02:00:00,0.0,0,0.3296,0
2019-01-06 03:00:00,0.0,0,0.354,0
2019-01-06 04:00:00,0.0,0,0.4184,0
2019-01-06 05:00:00,0.0,0,0.5381,0
2019-01-06 06:00:00,0.002,0,0.5895,0
2019-01-06 07:00:00,0.079,0,0.6223,0
2019-01-06 08:00:00,0.215,0,0.6631,0
2019-01-06 09:00:00,0.317,0,0.7459,0
2019-01-06 10:00:00,0.37,0,0.815,0
2019-01-06 11:00:00,0.375,0,0.8265,0
2019-01-06 12:00:00,0.306,0,0.7986,0
2019-01-06 13:00:00,0.16699999999999998,0,0.7468,0
2019-01-06 14:00:00,0.037000000000000005,0,0.7315,0
2019-01-06 15:00:00,0.0,0,0.7338,0
2019-01-06 16:00:00,0.0,0,0.7449,0
2019-01-06 17:00:00,0.0,0,0.7293,0
2019-01-06 18:00:00,0.0,0,0.6602,0
2019-01-06 19:00:00,0.0,0,0.6388,0
2019-01-06 20:00:00,0.0,0,0.585,0
2019-01-06 21:00:00,0.0,0,0.5329999999999999,0
2019-01-06 22:00:00,0.0,0,0.4587,0
2019-01-06 23:00:00,0.0,0,0.3963,0
2019-01-07 00:00:00,0.0,0,0.3446,0
2019-01-07 01:00:00,0.0,0,0.3065,0
2019-01-07 02:00:00,0.0,0,0.2753,0
2019-01-07 03:00:00,0.0,0,0.2341,0
2019-01-07 04:00:00,0.0,0,0.1803,0
