LT,PHOT,WTOF,WTON,HROR
2019-01-01 00:00:00,0.0,0,0.7446,0
2019-01-01 01:00:00,0.0,0,0.8204,0
2019-01-01 02:00:00,0.0,0,0.8207,0
2019-01-01 03:00:00,0.0,0,0.8516,0
2019-01-01 04:00:00,0.0,0,0.8708,0
2019-01-01 05:00:00,0.0,0,0.8789,0
2019-01-01 06:00:00,0.0,0,0.8932,0
2019-01-01 07:00:00,0.0,0,0.9072,0
2019-01-01 08:00:00,0.006,0,0.899,0
2019-01-01 09:00:00,0.016,0,0.8842,0
2019-01-01 10:00:00,0.022,0,0.8687,0
2019-01-01 11:00:00,0.018000000000000002,0,0.8451,0
2019-01-01 12:00:00,0.013,0,0.8191,0
2019-01-01 13:00:00,0.002,0,0.7924,0
2019-01-01 14:00:00,0.0,0,0.7597,0
2019-01-01 15:00:00,0.0,0,0.7133,0
2019-01-01 16:00:00,0.0,0,0.6612,0
2019-01-01 17:00:00,0.0,0,0.5841,0
2019-01-01 18:00:00,0.0,0,0.5037,0
2019-01-01 19:00:00,0.0,0,0.4426,0
2019-01-01 20:00:00,0.0,0,0.3924,0
2019-01-01 21:00:00,0.0,0,0.3666,0
2019-01-01 22:00:00,0.0,0,0.3541,0
2019-01-01 23:00:00,0.0,0,0.3613,0
2019-01-02 00:00:00,0.0,0,0.4503,0
2019-01-02 01:00:00,0.0,0,0.5685,0
2019-01-02 02:00:00,0.0,0,0.6683,0
2019-01-02 03:00:00,0.0,0,0.6864,0
2019-01-02 04:00:00,0.0,0,0.6713,0
2019-01-02 05:00:00,0.0,0,0.7016,0
2019-01-02 06:00:00,0.0,0,0.7385,0
2019-01-02 07:00:00,0.006,0,0.7799,0
2019-01-02 08:00:00,0.029,0,0.8101,0
2019-01-02 09:00:00,0.042,0,0.8377,0
2019-01-02 10:00:00,0.044,0,0.8569,0
2019-01-02 11:00:00,0.037000000000000005,0,0.8637,0
2019-01-02 12:00:00,0.02,0,0.8724,0
2019-01-02 13:00:00,0.002,0,0.8765,0
2019-01-02 14:00:00,0.0,0,0.8949,0
2019-01-02 15:00:00,0.0,0,0.9073,0
2019-01-02 16:00:00,0.0,0,0.9154,0
2019-01-02 17:00:00,0.0,0,0.9231,0
2019-01-02 18:00:00,0.0,0,0.9242,0
2019-01-02 19:00:00,0.0,0,0.9227,0
2019-01-02 20:00:00,0.0,0,0.9162,0
2019-01-02 21:00:00,0.0,0,0.9018,0
2019-01-02 22:00:00,0.0,0,0.8829,0
2019-01-02 23:00:00,0.0,0,0.8665,0
2019-01-03 00:00:00,0.0,0,0.8569,0
2019-01-03 01:00:00,0.0,0,0.852,0
2019-01-03 02:00:00,0.0,0,0.8462,0
2019-01-03 03:00:00,0.0,0,0.8338,0
2019-01-03 04:00:00,0.0,0,0.8211,0
2019-01-03 05:00:00,0.0,0,0.8029999999999999,0
2019-01-03 06:00:00,0.0,0,0.7835,0
2019-01-03 07:00:00,0.018000000000000002,0,0.7628,0
2019-01-03 08:00:00,0.079,0,0.7408,0
2019-01-03 09:00:00,0.13699999999999998,0,0.7535,0
2019-01-03 10:00:00,0.16699999999999998,0,0.7536,0
2019-01-03 11:00:00,0.14800000000000002,0,0.7332,0
2019-01-03 12:00:00,0.092,0,0.7081,0
2019-01-03 13:00:00,0.023,0,0.6677,0
2019-01-03 14:00:00,0.0,0,0.6238,0
2019-01-03 15:00:00,0.0,0,0.5799,0
2019-01-03 16:00:00,0.0,0,0.5235,0
2019-01-03 17:00:00,0.0,0,0.4608,0
2019-01-03 18:00:00,0.0,0,0.4033,0
2019-01-03 19:00:00,0.0,0,0.3623,0
2019-01-03 20:00:00,0.0,0,0.3156,0
2019-01-03 21:00:00,0.0,0,0.2548,0
2019-01-03 22:00:00,0.0,0,0.214,0
2019-01-03 23:00:00,0.0,0,0.1695,0
2019-01-04 00:00:00,0.0,0,0.1137,0
2019-01-04 01:00:00,0.0,0,0.0802,0
2019-01-04 02:00:00,0.0,0,0.0749,0
2019-01-04 03:00:00,0.0,0,0.0925,0
2019-01-04 04:00:00,0.0,0,0.1284,0
2019-01-04 05:00:00,0.0,0,0.1777,0
2019-01-04 06:00:00,0.0,0,0.2295,0
2019-01-04 07:00:00,0.008,0,0.2727,0
2019-01-04 08:00:00,0.027000000000000003,0,0.2796,0
