LU,PHOT,WTOF,WTON,HROR
2019-01-01 00:00:00,0.0,0,0.1287,0
2019-01-01 01:00:00,0.0,0,0.1546,0
2019-01-01 02:00:00,0.0,0,0.1935,0
2019-01-01 03:00:00,0.0,0,0.2148,0
2019-01-01 04:00:00,0.0,0,0.2316,0
2019-01-01 05:00:00,0.0,0,0.2958,0
2019-01-01 06:00:00,0.0,0,0.3243,0
2019-01-01 07:00:00,0.0,0,0.3296,0
2019-01-01 08:00:00,0.015,0,0.2735,0
2019-01-01 09:00:00,0.053,0,0.2754,0
2019-01-01 10:00:00,0.103,0,0.3189,0
2019-01-01 11:00:00,0.085,0,0.3671,0
2019-01-01 12:00:00,0.029,0,0.3908,0
2019-01-01 13:00:00,0.011,0,0.441,0
2019-01-01 14:00:00,0.002,0,0.4541,0
2019-01-01 15:00:00,0.0,0,0.4526,0
2019-01-01 16:00:00,0.0,0,0.4503,0
2019-01-01 17:00:00,0.0,0,0.5148,0
2019-01-01 18:00:00,0.0,0,0.5391,0
2019-01-01 19:00:00,0.0,0,0.5775,0
2019-01-01 20:00:00,0.0,0,0.5856,0
2019-01-01 21:00:00,0.0,0,0.5483,0
2019-01-01 22:00:00,0.0,0,0.5265,0
2019-01-01 23:00:00,0.0,0,0.5003,0
2019-01-02 00:00:00,0.0,0,0.4969,0
2019-01-02 01:00:00,0.0,0,0.48,0
2019-01-02 02:00:00,0.0,0,0.442,0
2019-01-02 03:00:00,0.0,0,0.4114,0
2019-01-02 04:00:00,0.0,0,0.4112,0
2019-01-02 05:00:00,0.0,0,0.4256,0
2019-01-02 06:00:00,0.0,0,0.4255,0
2019-01-02 07:00:00,0.0,0,0.4207,0
2019-01-02 08:00:00,0.087,0,0.3938,0
2019-01-02 09:00:00,0.231,0,0.4489,0
2019-01-02 10:00:00,0.371,0,0.488,0
2019-01-02 11:00:00,0.406,0,0.5846,0
2019-01-02 12:00:00,0.35700000000000004,0,0.5986,0
2019-01-02 13:00:00,0.298,0,0.5409,0
2019-01-02 14:00:00,0.16699999999999998,0,0.4536,0
2019-01-02 15:00:00,0.014,0,0.413,0
2019-01-02 16:00:00,0.0,0,0.3839,0
2019-01-02 17:00:00,0.0,0,0.3737,0
2019-01-02 18:00:00,0.0,0,0.3516,0
2019-01-02 19:00:00,0.0,0,0.3095,0
2019-01-02 20:00:00,0.0,0,0.2464,0
2019-01-02 21:00:00,0.0,0,0.1724,0
2019-01-02 22:00:00,0.0,0,0.118,0
2019-01-02 23:00:00,0.0,0,0.0879,0
2019-01-03 00:00:00,0.0,0,0.0732,0
2019-01-03 01:00:00,0.0,0,0.0679,0
2019-01-03 02:00:00,0.0,0,0.0655,0
