MT,PHOT,WTOF,WTON,HROR
1/01/2019 0:00,0,0,0.13,
1/01/2019 1:00,0,0,0.1451,
1/01/2019 2:00,0,0,0.1638,
1/01/2019 3:00,0,0,0.1874,
1/01/2019 4:00,0,0,0.2017,
1/01/2019 5:00,0,0,0.194,
1/01/2019 6:00,0.048,0,0.1656,
1/01/2019 7:00,0.198,0,0.1136,
1/01/2019 8:00,0.341,0,0.0575,
1/01/2019 9:00,0.47,0,0.0212,
1/01/2019 10:00,0.515,0,0.0046,
1/01/2019 11:00,0.51,0,0.0017,
1/01/2019 12:00,0.453,0,0.0009,
1/01/2019 13:00,0.345,0,0.0027,
1/01/2019 14:00,0.151,0,0.005,
1/01/2019 15:00,0,0,0.0086,
1/01/2019 16:00,0,0,0.0109,
1/01/2019 17:00,0,0,0.0174,
1/01/2019 18:00,0,0,0.0254,
1/01/2019 19:00,0,0,0.0342,
1/01/2019 20:00,0,0,0.0457,
1/01/2019 21:00,0,0,0.0636,
1/01/2019 22:00,0,0,0.07,
1/01/2019 23:00,0,0,0.0599,
2/01/2019 0:00,0,0,0.0588,
2/01/2019 1:00,0,0,0.0815,
2/01/2019 2:00,0,0,0.1026,
2/01/2019 3:00,0,0,0.1124,
2/01/2019 4:00,0,0,0.1197,
2/01/2019 5:00,0,0,0.1334,
2/01/2019 6:00,0.095,0,0.1318,
2/01/2019 7:00,0.255,0,0.0739,
2/01/2019 8:00,0.379,0,0.0954,
2/01/2019 9:00,0.458,0,0.0974,
2/01/2019 10:00,0.432,0,0.1016,
2/01/2019 11:00,0.275,0,0.1292,
2/01/2019 12:00,0.133,0,0.17,
2/01/2019 13:00,0.051,0,0.1863,
2/01/2019 14:00,0.008,0,0.2093,
2/01/2019 15:00,0,0,0.252,
2/01/2019 16:00,0,0,0.2753,
2/01/2019 17:00,0,0,0.2798,
2/01/2019 18:00,0,0,0.2765,
2/01/2019 19:00,0,0,0.2753,
2/01/2019 20:00,0,0,0.2629,
2/01/2019 21:00,0,0,0.2275,
2/01/2019 22:00,0,0,0.1946,
2/01/2019 23:00,0,0,0.1652,
