NO,PHOT,WTOF,WTON,HROR
2019-01-01 00:00:00,0.0,0.8490000000000001,0.6204,0.407219653576485
2019-01-01 01:00:00,0.0,0.8252,0.601,0.407219653576485
2019-01-01 02:00:00,0.0,0.8057,0.6298,0.407219653576485
2019-01-01 03:00:00,0.0,0.6724,0.6606,0.407219653576485
2019-01-01 04:00:00,0.0,0.5767,0.6896,0.407219653576485
2019-01-01 05:00:00,0.0,0.643,0.728,0.407219653576485
2019-01-01 06:00:00,0.0,0.7494,0.7701,0.407219653576485
2019-01-01 07:00:00,0.0,0.8174,0.8175,0.407219653576485
2019-01-01 08:00:00,0.0,0.8402,0.8483,0.407219653576485
2019-01-01 09:00:00,0.018000000000000002,0.8353,0.8694,0.407219653576485
2019-01-01 10:00:00,0.041,0.8156,0.888,0.407219653576485
2019-01-01 11:00:00,0.043,0.8029999999999999,0.8884,0.407219653576485
2019-01-01 12:00:00,0.025,0.7859,0.8939,0.407219653576485
2019-01-01 13:00:00,0.006999999999999999,0.7619,0.8931,0.407219653576485
2019-01-01 14:00:00,0.0,0.764,0.8772,0.407219653576485
2019-01-01 15:00:00,0.0,0.8559,0.8524,0.407219653576485
2019-01-01 16:00:00,0.0,0.9237,0.8256,0.407219653576485
2019-01-01 17:00:00,0.0,0.9559,0.8001,0.407219653576485
2019-01-01 18:00:00,0.0,0.9738,0.7774,0.407219653576485
2019-01-01 19:00:00,0.0,0.9815,0.769,0.407219653576485
2019-01-01 20:00:00,0.0,0.9863,0.7578,0.407219653576485
2019-01-01 21:00:00,0.0,0.99,0.7337,0.407219653576485
2019-01-01 22:00:00,0.0,0.9914,0.6908,0.407219653576485
2019-01-01 23:00:00,0.0,0.9892,0.6412,0.407219653576485
2019-01-02 00:00:00,0.0,0.9859,0.6038,0.40275886677183503
2019-01-02 01:00:00,0.0,0.9831,0.5765,0.40275886677183503
2019-01-02 02:00:00,0.0,0.9772,0.5496,0.40275886677183503
2019-01-02 03:00:00,0.0,0.959,0.4934,0.40275886677183503
2019-01-02 04:00:00,0.0,0.9288,0.4374,0.40275886677183503
2019-01-02 05:00:00,0.0,0.9003,0.4011,0.40275886677183503
2019-01-02 06:00:00,0.0,0.8722,0.3732,0.40275886677183503
2019-01-02 07:00:00,0.0,0.8591,0.3629,0.40275886677183503
2019-01-02 08:00:00,0.002,0.8524,0.3616,0.40275886677183503
2019-01-02 09:00:00,0.038,0.8454,0.3666,0.40275886677183503
2019-01-02 10:00:00,0.075,0.8322,0.3826,0.40275886677183503
2019-01-02 11:00:00,0.08199999999999999,0.8189,0.406,0.40275886677183503
2019-01-02 12:00:00,0.059,0.8114,0.4131,0.40275886677183503
2019-01-02 13:00:00,0.015,0.8063,0.4067,0.40275886677183503
2019-01-02 14:00:00,0.0,0.7931,0.39,0.40275886677183503
2019-01-02 15:00:00,0.0,0.7653,0.3498,0.40275886677183503
2019-01-02 16:00:00,0.0,0.7347,0.3117,0.40275886677183503
2019-01-02 17:00:00,0.0,0.7120000000000001,0.2796,0.40275886677183503
2019-01-02 18:00:00,0.0,0.6679999999999999,0.2535,0.40275886677183503
2019-01-02 19:00:00,0.0,0.6189,0.2425,0.40275886677183503
2019-01-02 20:00:00,0.0,0.5881,0.2369,0.40275886677183503
2019-01-02 21:00:00,0.0,0.6148,0.2476,0.40275886677183503
2019-01-02 22:00:00,0.0,0.6459,0.2565,0.40275886677183503
2019-01-02 23:00:00,0.0,0.6257,0.269,0.40275886677183503
2019-01-03 00:00:00,0.0,0.5766,0.2773,0.35019742796834996
2019-01-03 01:00:00,0.0,0.5046,0.2889,0.35019742796834996
2019-01-03 02:00:00,0.0,0.4421,0.3034,0.35019742796834996
2019-01-03 03:00:00,0.0,0.4068,0.3405,0.35019742796834996
2019-01-03 04:00:00,0.0,0.3695,0.3785,0.35019742796834996
2019-01-03 05:00:00,0.0,0.3005,0.399,0.35019742796834996
2019-01-03 06:00:00,0.0,0.2412,0.4297,0.35019742796834996
2019-01-03 07:00:00,0.0,0.2171,0.4563,0.35019742796834996
2019-01-03 08:00:00,0.001,0.1965,0.4719,0.35019742796834996
2019-01-03 09:00:00,0.018000000000000002,0.1616,0.4915,0.35019742796834996
2019-01-03 10:00:00,0.052000000000000005,0.2015,0.5041,0.35019742796834996
2019-01-03 11:00:00,0.07400000000000001,0.3214,0.5189,0.35019742796834996
2019-01-03 12:00:00,0.057,0.3923,0.5233,0.35019742796834996
2019-01-03 13:00:00,0.022,0.3201,0.5329999999999999,0.35019742796834996
2019-01-03 14:00:00,0.001,0.3894,0.5479,0.35019742796834996
2019-01-03 15:00:00,0.0,0.5002,0.5515,0.35019742796834996
2019-01-03 16:00:00,0.0,0.5446,0.5513,0.35019742796834996
2019-01-03 17:00:00,0.0,0.5284,0.546,0.35019742796834996
2019-01-03 18:00:00,0.0,0.524,0.5392,0.35019742796834996
2019-01-03 19:00:00,0.0,0.5106,0.534,0.35019742796834996
2019-01-03 20:00:00,0.0,0.4897,0.5361,0.35019742796834996
2019-01-03 21:00:00,0.0,0.5061,0.5359,0.35019742796834996
2019-01-03 22:00:00,0.0,0.5358,0.5398,0.35019742796834996
2019-01-03 23:00:00,0.0,0.5165,0.5318,0.35019742796834996
2019-01-04 00:00:00,0.0,0.5165,0.5191,0.346160496780964
2019-01-04 01:00:00,0.0,0.5723,0.5224,0.346160496780964
2019-01-04 02:00:00,0.0,0.6668,0.5354,0.346160496780964
2019-01-04 03:00:00,0.0,0.7212,0.5394,0.346160496780964
2019-01-04 04:00:00,0.0,0.738,0.5351,0.346160496780964
2019-01-04 05:00:00,0.0,0.8028,0.5177,0.346160496780964
2019-01-04 06:00:00,0.0,0.8253,0.4878,0.346160496780964
2019-01-04 07:00:00,0.0,0.8426,0.4698,0.346160496780964
2019-01-04 08:00:00,0.001,0.8419,0.454,0.346160496780964
2019-01-04 09:00:00,0.02,0.8648,0.4327,0.346160496780964
2019-01-04 10:00:00,0.032,0.906,0.4191,0.346160496780964
2019-01-04 11:00:00,0.026,0.9027,0.415,0.346160496780964
2019-01-04 12:00:00,0.013,0.9114,0.412,0.346160496780964
2019-01-04 13:00:00,0.002,0.917,0.4048,0.346160496780964
2019-01-04 14:00:00,0.0,0.9162,0.3982,0.346160496780964
2019-01-04 15:00:00,0.0,0.9191,0.3885,0.346160496780964
2019-01-04 16:00:00,0.0,0.9258,0.3748,0.346160496780964
2019-01-04 17:00:00,0.0,0.9435,0.3717,0.346160496780964
2019-01-04 18:00:00,0.0,0.9473,0.3628,0.346160496780964
2019-01-04 19:00:00,0.0,0.9485,0.3477,0.346160496780964
2019-01-04 20:00:00,0.0,0.947,0.3376,0.346160496780964
2019-01-04 21:00:00,0.0,0.952,0.3335,0.346160496780964
2019-01-04 22:00:00,0.0,0.9504,0.3207,0.346160496780964
2019-01-04 23:00:00,0.0,0.9435,0.3091,0.346160496780964
2019-01-05 00:00:00,0.0,0.9348,0.2941,0.333168994599917
2019-01-05 01:00:00,0.0,0.9191,0.2828,0.333168994599917
