SE,PHOT,WTOF,WTON,HROR
2019-01-01 0:00,0,0.9827,0.6472,0.235311592
2019-01-01 1:00,0,0.958,0.6195,0.235311592
2019-01-01 2:00,0,0.9271,0.5965,0.235311592
2019-01-01 3:00,0,0.8647,0.5896,0.235311592
2019-01-01 4:00,0,0.8925,0.5805,0.235311592
2019-01-01 5:00,0,0.9053,0.5754,0.235311592
2019-01-01 6:00,0,0.8446,0.5838,0.235311592
2019-01-01 7:00,0,0.7893,0.5852,0.235311592
2019-01-01 8:00,0.006,0.6745,0.5936,0.235311592
2019-01-01 9:00,0.033,0.5878,0.5891,0.235311592
2019-01-01 10:00,0.058,0.521,0.5853,0.235311592
2019-01-01 11:00,0.057,0.47,0.618,0.235311592
2019-01-01 12:00,0.036,0.4647,0.6989,0.235311592
2019-01-01 13:00,0.009,0.4766,0.7966,0.235311592
2019-01-01 14:00,0,0.5255,0.8538,0.235311592
2019-01-01 15:00,0,0.6139,0.8854,0.235311592
2019-01-01 16:00,0,0.728,0.9017,0.235311592
2019-01-01 17:00,0,0.8125,0.9226,0.235311592
2019-01-01 18:00,0,0.8661,0.9369,0.235311592
2019-01-01 19:00,0,0.8428,0.9267,0.235311592
2019-01-01 20:00,0,0.7914,0.911,0.235311592
2019-01-01 21:00,0,0.7501,0.9119,0.235311592
2019-01-01 22:00,0,0.7414,0.9143,0.235311592
2019-01-01 23:00,0,0.6923,0.9059,0.235311592
2019-01-02 0:00,0,0.6697,0.8938,0.249356636
2019-01-02 1:00,0,0.7379,0.8801,0.249356636
2019-01-02 2:00,0,0.7811,0.8619,0.249356636
2019-01-02 3:00,0,0.7752,0.8441,0.249356636
2019-01-02 4:00,0,0.7515,0.8245,0.249356636
2019-01-02 5:00,0,0.7554,0.7928,0.249356636
2019-01-02 6:00,0,0.7849,0.766,0.249356636
2019-01-02 7:00,0,0.7983,0.7417,0.249356636
2019-01-02 8:00,0.031,0.8365,0.7211,0.249356636
2019-01-02 9:00,0.102,0.8382,0.709,0.249356636
2019-01-02 10:00,0.15,0.8378,0.6809,0.249356636
2019-01-02 11:00,0.146,0.854,0.6703,0.249356636
2019-01-02 12:00,0.096,0.8698,0.6564,0.249356636
2019-01-02 13:00,0.031,0.8957,0.6374,0.249356636
2019-01-02 14:00,0,0.9124,0.6211,0.249356636
2019-01-02 15:00,0,0.9215,0.5794,0.249356636
2019-01-02 16:00,0,0.9024,0.5326,0.249356636
2019-01-02 17:00,0,0.8885,0.4856,0.249356636
2019-01-02 18:00,0,0.8737,0.4395,0.249356636
2019-01-02 19:00,0,0.9111,0.4061,0.249356636
2019-01-02 20:00,0,0.8833,0.3713,0.249356636
2019-01-02 21:00,0,0.8448,0.351,0.249356636
2019-01-02 22:00,0,0.8625,0.3391,0.249356636
2019-01-02 23:00,0,0.8551,0.3452,0.249356636
2019-01-03 0:00,0,0.8412,0.3377,0.303071251
2019-01-03 1:00,0,0.8417,0.3012,0.303071251
2019-01-03 2:00,0,0.8386,0.2811,0.303071251
2019-01-03 3:00,0,0.8214,0.2517,0.303071251
2019-01-03 4:00,0,0.8119,0.2195,0.303071251
2019-01-03 5:00,0,0.8033,0.2005,0.303071251
2019-01-03 6:00,0,0.7823,0.172,0.303071251
2019-01-03 7:00,0,0.7534,0.1554,0.303071251
2019-01-03 8:00,0.017,0.6997,0.1409,0.303071251
2019-01-03 9:00,0.051,0.625,0.1458,0.303071251
2019-01-03 10:00,0.07,0.5388,0.1586,0.303071251
2019-01-03 11:00,0.067,0.4345,0.177,0.303071251
2019-01-03 12:00,0.045,0.3639,0.2026,0.303071251
2019-01-03 13:00,0.013,0.3424,0.2284,0.303071251
2019-01-03 14:00,0,0.3079,0.2513,0.303071251
2019-01-03 15:00,0,0.2283,0.2595,0.303071251
2019-01-03 16:00,0,0.1349,0.2525,0.303071251
2019-01-03 17:00,0,0.0466,0.2544,0.303071251
2019-01-03 18:00,0,0.0199,0.2593,0.303071251
2019-01-03 19:00,0,0.0102,0.2677,0.303071251
2019-01-03 20:00,0,0.0244,0.2693,0.303071251
2019-01-03 21:00,0,0.0729,0.2769,0.303071251
2019-01-03 22:00,0,0.1595,0.2908,0.303071251
2019-01-03 23:00,0,0.2911,0.3074,0.303071251
2019-01-04 0:00,0,0.4323,0.3165,0.311656707
2019-01-04 1:00,0,0.5151,0.3149,0.311656707
2019-01-04 2:00,0,0.57,0.3137,0.311656707
2019-01-04 3:00,0,0.6162,0.3132,0.311656707
2019-01-04 4:00,0,0.6252,0.311,0.311656707
2019-01-04 5:00,0,0.6491,0.3127,0.311656707
2019-01-04 6:00,0,0.6778,0.3173,0.311656707
2019-01-04 7:00,0,0.6702,0.3037,0.311656707
2019-01-04 8:00,0.006,0.6505,0.2894,0.311656707
2019-01-04 9:00,0.03,0.6115,0.2731,0.311656707
2019-01-04 10:00,0.058,0.5838,0.2852,0.311656707
2019-01-04 11:00,0.062,0.5669,0.2876,0.311656707
2019-01-04 12:00,0.041,0.552,0.3056,0.311656707
2019-01-04 13:00,0.012,0.6417,0.3502,0.311656707
2019-01-04 14:00,0,0.7214,0.3806,0.311656707
2019-01-04 15:00,0,0.7721,0.3775,0.311656707
2019-01-04 16:00,0,0.754,0.3362,0.311656707
2019-01-04 17:00,0,0.7442,0.3113,0.311656707
2019-01-04 18:00,0,0.7358,0.296,0.311656707
2019-01-04 19:00,0,0.6803,0.2737,0.311656707
2019-01-04 20:00,0,0.6319,0.2487,0.311656707
2019-01-04 21:00,0,0.6195,0.2282,0.311656707
2019-01-04 22:00,0,0.6043,0.2224,0.311656707
2019-01-04 23:00,0,0.5889,0.2182,0.311656707
2019-01-05 0:00,0,0.6121,0.223,0.312714913
2019-01-05 1:00,0,0.6655,0.2291,0.312714913
2019-01-05 2:00,0,0.6751,0.2118,0.312714913
2019-01-05 3:00,0,0.6248,0.1999,0.312714913
2019-01-05 4:00,0,0.5832,0.2158,0.312714913
2019-01-05 5:00,0,0.5239,0.2228,0.312714913
2019-01-05 6:00,0,0.4941,0.1889,0.312714913
2019-01-05 7:00,0,0.4622,0.1681,0.312714913
2019-01-05 8:00,0.007,0.429,0.1619,0.312714913
2019-01-05 9:00,0.037,0.4363,0.1408,0.312714913
2019-01-05 10:00,0.069,0.441,0.123,0.312714913
2019-01-05 11:00,0.076,0.4362,0.1128,0.312714913
2019-01-05 12:00,0.049,0.4007,0.1116,0.312714913
2019-01-05 13:00,0.016,0.3957,0.13,0.312714913
2019-01-05 14:00,0,0.4614,0.1582,0.312714913
2019-01-05 15:00,0,0.5037,0.1668,0.312714913
2019-01-05 16:00,0,0.4948,0.1579,0.312714913
2019-01-05 17:00,0,0.4503,0.1404,0.312714913
2019-01-05 18:00,0,0.3858,0.131,0.312714913
2019-01-05 19:00,0,0.3061,0.1149,0.312714913
2019-01-05 20:00,0,0.2359,0.1,0.312714913
