SL,PHOT,WTOF,WTON,HROR
2019-01-01 0:00,0,0,0.053,0.3435493
2019-01-01 1:00,0,0,0.0434,0.3435493
2019-01-01 2:00,0,0,0.0399,0.3435493
2019-01-01 3:00,0,0,0.0335,0.3435493
2019-01-01 4:00,0,0,0.0258,0.3435493
2019-01-01 5:00,0,0,0.021,0.3435493
2019-01-01 6:00,0,0,0.0145,0.3435493
2019-01-01 7:00,0.07,0,0.0084,0.3435493
2019-01-01 8:00,0.203,0,0.0001,0.3435493
2019-01-01 9:00,0.289,0,0.0008,0.3435493
2019-01-01 10:00,0.29,0,0.0141,0.3435493
2019-01-01 11:00,0.224,0,0.0283,0.3435493
2019-01-01 12:00,0.159,0,0.034,0.3435493
2019-01-01 13:00,0.111,0,0.0274,0.3435493
2019-01-01 14:00,0.047,0,0.0227,0.3435493
2019-01-01 15:00,0,0,0.0246,0.3435493
2019-01-01 16:00,0,0,0.0263,0.3435493
2019-01-01 17:00,0,0,0.0317,0.3435493
2019-01-01 18:00,0,0,0.0318,0.3435493
2019-01-01 19:00,0,0,0.0324,0.3435493
2019-01-01 20:00,0,0,0.0326,0.3435493
2019-01-01 21:00,0,0,0.0304,0.3435493
2019-01-01 22:00,0,0,0.0243,0.3435493
2019-01-01 23:00,0,0,0.0157,0.3435493
2019-01-02 0:00,0,0,0.0113,0.395356421
2019-01-02 1:00,0,0,0.0098,0.395356421
2019-01-02 2:00,0,0,0.0141,0.395356421
2019-01-02 3:00,0,0,0.0391,0.395356421
2019-01-02 4:00,0,0,0.095,0.395356421
2019-01-02 5:00,0,0,0.153,0.395356421
2019-01-02 6:00,0,0,0.1378,0.395356421
2019-01-02 7:00,0.072,0,0.0953,0.395356421
2019-01-02 8:00,0.184,0,0.045,0.395356421
2019-01-02 9:00,0.274,0,0.0658,0.395356421
2019-01-02 10:00,0.334,0,0.118,0.395356421
2019-01-02 11:00,0.353,0,0.1795,0.395356421
2019-01-02 12:00,0.315,0,0.2915,0.395356421
2019-01-02 13:00,0.178,0,0.3737,0.395356421
2019-01-02 14:00,0.054,0,0.3462,0.395356421
2019-01-02 15:00,0,0,0.2641,0.395356421
2019-01-02 16:00,0,0,0.2147,0.395356421
2019-01-02 17:00,0,0,0.1846,0.395356421
2019-01-02 18:00,0,0,0.1684,0.395356421
2019-01-02 19:00,0,0,0.1597,0.395356421
2019-01-02 20:00,0,0,0.1598,0.395356421
2019-01-02 21:00,0,0,0.1914,0.395356421
2019-01-02 22:00,0,0,0.21,0.395356421
2019-01-02 23:00,0,0,0.2171,0.395356421
2019-01-03 0:00,0,0,0.2186,0.357551961
2019-01-03 1:00,0,0,0.2299,0.357551961
2019-01-03 2:00,0,0,0.2426,0.357551961
2019-01-03 3:00,0,0,0.2526,0.357551961
2019-01-03 4:00,0,0,0.2463,0.357551961
2019-01-03 5:00,0,0,0.2341,0.357551961
2019-01-03 6:00,0,0,0.2252,0.357551961
2019-01-03 7:00,0.1,0,0.2039,0.357551961
2019-01-03 8:00,0.239,0,0.1873,0.357551961
2019-01-03 9:00,0.347,0,0.2351,0.357551961
2019-01-03 10:00,0.411,0,0.2886,0.357551961
2019-01-03 11:00,0.433,0,0.3024,0.357551961
2019-01-03 12:00,0.399,0,0.2649,0.357551961
2019-01-03 13:00,0.275,0,0.1862,0.357551961
2019-01-03 14:00,0.096,0,0.1328,0.357551961
2019-01-03 15:00,0.001,0,0.15,0.357551961
2019-01-03 16:00,0,0,0.2049,0.357551961
2019-01-03 17:00,0,0,0.2061,0.357551961
2019-01-03 18:00,0,0,0.1672,0.357551961
2019-01-03 19:00,0,0,0.1485,0.357551961
2019-01-03 20:00,0,0,0.1222,0.357551961
2019-01-03 21:00,0,0,0.1063,0.357551961
2019-01-03 22:00,0,0,0.1125,0.357551961
2019-01-03 23:00,0,0,0.126,0.357551961
2019-01-04 0:00,0,0,0.1342,0.334814326
2019-01-04 1:00,0,0,0.1478,0.334814326
2019-01-04 2:00,0,0,0.1523,0.334814326
2019-01-04 3:00,0,0,0.1518,0.334814326
2019-01-04 4:00,0,0,0.1437,0.334814326
2019-01-04 5:00,0,0,0.1303,0.334814326
2019-01-04 6:00,0,0,0.0887,0.334814326
2019-01-04 7:00,0.106,0,0.0608,0.334814326
2019-01-04 8:00,0.266,0,0.0395,0.334814326
2019-01-04 9:00,0.388,0,0.0542,0.334814326
2019-01-04 10:00,0.424,0,0.0648,0.334814326
2019-01-04 11:00,0.392,0,0.0585,0.334814326
2019-01-04 12:00,0.3,0,0.047,0.334814326
2019-01-04 13:00,0.185,0,0.0312,0.334814326
2019-01-04 14:00,0.066,0,0.0162,0.334814326
2019-01-04 15:00,0,0,0.0101,0.334814326
2019-01-04 16:00,0,0,0.0065,0.334814326
2019-01-04 17:00,0,0,0.003,0.334814326
2019-01-04 18:00,0,0,0.0007,0.334814326
2019-01-04 19:00,0,0,0,0.334814326
2019-01-04 20:00,0,0,0.0002,0.334814326
2019-01-04 21:00,0,0,0.0071,0.334814326
2019-01-04 22:00,0,0,0.0175,0.334814326
2019-01-04 23:00,0,0,0.0271,0.334814326
2019-01-05 0:00,0,0,0.0328,0.388481469
2019-01-05 1:00,0,0,0.0336,0.388481469
2019-01-05 2:00,0,0,0.0343,0.388481469
2019-01-05 3:00,0,0,0.03,0.388481469
2019-01-05 4:00,0,0,0.0229,0.388481469
2019-01-05 5:00,0,0,0.0185,0.388481469
2019-01-05 6:00,0,0,0.018,0.388481469
2019-01-05 7:00,0.018,0,0.0231,0.388481469
2019-01-05 8:00,0.036,0,0.025,0.388481469
2019-01-05 9:00,0.047,0,0.0168,0.388481469
2019-01-05 10:00,0.055,0,0.0194,0.388481469
2019-01-05 11:00,0.054,0,0.0231,0.388481469
2019-01-05 12:00,0.049,0,0.0216,0.388481469
2019-01-05 13:00,0.041,0,0.0137,0.388481469
2019-01-05 14:00,0.039,0,0.0075,0.388481469
2019-01-05 15:00,0.001,0,0.0083,0.388481469
2019-01-05 16:00,0,0,0.0102,0.388481469
2019-01-05 17:00,0,0,0.0111,0.388481469
2019-01-05 18:00,0,0,0.0118,0.388481469
2019-01-05 19:00,0,0,0.0116,0.388481469
2019-01-05 20:00,0,0,0.01,0.388481469
2019-01-05 21:00,0,0,0.0091,0.388481469
2019-01-05 22:00,0,0,0.0083,0.388481469
2019-01-05 23:00,0,0,0.0105,0.388481469
2019-01-06 0:00,0,0,0.0125,0.476490969
2019-01-06 1:00,0,0,0.0128,0.476490969
2019-01-06 2:00,0,0,0.0145,0.476490969
2019-01-06 3:00,0,0,0.0161,0.476490969
2019-01-06 4:00,0,0,0.0168,0.476490969
2019-01-06 5:00,0,0,0.0199,0.476490969
2019-01-06 6:00,0,0,0.025,0.476490969
2019-01-06 7:00,0.072,0,0.0364,0.476490969
2019-01-06 8:00,0.224,0,0.0449,0.476490969
2019-01-06 9:00,0.367,0,0.0346,0.476490969
2019-01-06 10:00,0.44,0,0.0309,0.476490969
2019-01-06 11:00,0.447,0,0.0422,0.476490969
2019-01-06 12:00,0.394,0,0.0418,0.476490969
2019-01-06 13:00,0.305,0,0.0382,0.476490969
2019-01-06 14:00,0.142,0,0.0478,0.476490969
2019-01-06 15:00,0.002,0,0.0644,0.476490969
2019-01-06 16:00,0,0,0.0804,0.476490969
2019-01-06 17:00,0,0,0.0806,0.476490969
2019-01-06 18:00,0,0,0.0713,0.476490969
2019-01-06 19:00,0,0,0.0576,0.476490969
2019-01-06 20:00,0,0,0.0485,0.476490969
2019-01-06 21:00,0,0,0.0451,0.476490969
2019-01-06 22:00,0,0,0.0361,0.476490969
2019-01-06 23:00,0,0,0.0285,0.476490969
2019-01-07 0:00,0,0,0.0235,0.366412665
2019-01-07 1:00,0,0,0.0195,0.366412665
2019-01-07 2:00,0,0,0.0187,0.366412665
2019-01-07 3:00,0,0,0.0229,0.366412665
2019-01-07 4:00,0,0,0.032,0.366412665
2019-01-07 5:00,0,0,0.0405,0.366412665
2019-01-07 6:00,0,0,0.0433,0.366412665
2019-01-07 7:00,0.048,0,0.0417,0.366412665
2019-01-07 8:00,0.149,0,0.0272,0.366412665
2019-01-07 9:00,0.252,0,0.0089,0.366412665
2019-01-07 10:00,0.291,0,0.0026,0.366412665
2019-01-07 11:00,0.277,0,0.0002,0.366412665
2019-01-07 12:00,0.235,0,0.0006,0.366412665
2019-01-07 13:00,0.171,0,0.0005,0.366412665
2019-01-07 14:00,0.079,0,0.0001,0.366412665
2019-01-07 15:00,0.001,0,0,0.366412665
2019-01-07 16:00,0,0,0,0.366412665
2019-01-07 17:00,0,0,0,0.366412665
2019-01-07 18:00,0,0,0,0.366412665
2019-01-07 19:00,0,0,0.0002,0.366412665
2019-01-07 20:00,0,0,0.0004,0.366412665
2019-01-07 21:00,0,0,0.0025,0.366412665
2019-01-07 22:00,0,0,0.0065,0.366412665
2019-01-07 23:00,0,0,0.0077,0.366412665
2019-01-08 0:00,0,0,0.0088,0.319142183
2019-01-08 1:00,0,0,0.0105,0.319142183
2019-01-08 2:00,0,0,0.0133,0.319142183
2019-01-08 3:00,0,0,0.0125,0.319142183
2019-01-08 4:00,0,0,0.0163,0.319142183
2019-01-08 5:00,0,0,0.0277,0.319142183
2019-01-08 6:00,0,0,0.0474,0.319142183
2019-01-08 7:00,0.014,0,0.0544,0.319142183
2019-01-08 8:00,0.053,0,0.0628,0.319142183
2019-01-08 9:00,0.09,0,0.0535,0.319142183
2019-01-08 10:00,0.123,0,0.0488,0.319142183
2019-01-08 11:00,0.11,0,0.0545,0.319142183
2019-01-08 12:00,0.089,0,0.0438,0.319142183
2019-01-08 13:00,0.059,0,0.0268,0.319142183
2019-01-08 14:00,0.035,0,0.0218,0.319142183
2019-01-08 15:00,0,0,0.0211,0.319142183
2019-01-08 16:00,0,0,0.0157,0.319142183
2019-01-08 17:00,0,0,0.0133,0.319142183
2019-01-08 18:00,0,0,0.013,0.319142183
2019-01-08 19:00,0,0,0.0124,0.319142183
2019-01-08 20:00,0,0,0.0126,0.319142183
2019-01-08 21:00,0,0,0.0107,0.319142183
2019-01-08 22:00,0,0,0.0093,0.319142183
2019-01-08 23:00,0,0,0.0084,0.319142183
2019-01-09 0:00,0,0,0.0069,0.362629108
2019-01-09 1:00,0,0,0.011,0.362629108
2019-01-09 2:00,0,0,0.0155,0.362629108
2019-01-09 3:00,0,0,0.0184,0.362629108
2019-01-09 4:00,0,0,0.0194,0.362629108
2019-01-09 5:00,0,0,0.0149,0.362629108
2019-01-09 6:00,0,0,0.0112,0.362629108
2019-01-09 7:00,0.024,0,0.0106,0.362629108
2019-01-09 8:00,0.106,0,0.0051,0.362629108
2019-01-09 9:00,0.218,0,0.0017,0.362629108
2019-01-09 10:00,0.297,0,0.005,0.362629108
2019-01-09 11:00,0.284,0,0.0148,0.362629108
2019-01-09 12:00,0.208,0,0.0227,0.362629108
2019-01-09 13:00,0.118,0,0.0286,0.362629108
2019-01-09 14:00,0.039,0,0.0546,0.362629108
2019-01-09 15:00,0,0,0.0849,0.362629108
2019-01-09 16:00,0,0,0.1055,0.362629108
2019-01-09 17:00,0,0,0.0968,0.362629108
2019-01-09 18:00,0,0,0.0868,0.362629108
2019-01-09 19:00,0,0,0.08,0.362629108
2019-01-09 20:00,0,0,0.0751,0.362629108
2019-01-09 21:00,0,0,0.0668,0.362629108
2019-01-09 22:00,0,0,0.0655,0.362629108
2019-01-09 23:00,0,0,0.0754,0.362629108
2019-01-10 0:00,0,0,0.0821,0.328420257
2019-01-10 1:00,0,0,0.075,0.328420257
2019-01-10 2:00,0,0,0.0875,0.328420257
2019-01-10 3:00,0,0,0.0944,0.328420257
2019-01-10 4:00,0,0,0.1041,0.328420257
2019-01-10 5:00,0,0,0.1137,0.328420257
2019-01-10 6:00,0,0,0.1436,0.328420257
2019-01-10 7:00,0.06,0,0.1219,0.328420257
2019-01-10 8:00,0.164,0,0.08,0.328420257
2019-01-10 9:00,0.263,0,0.1277,0.328420257
2019-01-10 10:00,0.329,0,0.1873,0.328420257
2019-01-10 11:00,0.327,0,0.2078,0.328420257
2019-01-10 12:00,0.268,0,0.1985,0.328420257
2019-01-10 13:00,0.188,0,0.1444,0.328420257
2019-01-10 14:00,0.089,0,0.1107,0.328420257
2019-01-10 15:00,0.002,0,0.1107,0.328420257
2019-01-10 16:00,0,0,0.1233,0.328420257
2019-01-10 17:00,0,0,0.1284,0.328420257
2019-01-10 18:00,0,0,0.1206,0.328420257
2019-01-10 19:00,0,0,0.1437,0.328420257
2019-01-10 20:00,0,0,0.1322,0.328420257
2019-01-10 21:00,0,0,0.1331,0.328420257
2019-01-10 22:00,0,0,0.1436,0.328420257
2019-01-10 23:00,0,0,0.1416,0.328420257
2019-01-11 0:00,0,0,0.1394,0.37483137
2019-01-11 1:00,0,0,0.1351,0.37483137
2019-01-11 2:00,0,0,0.1365,0.37483137
2019-01-11 3:00,0,0,0.1322,0.37483137
2019-01-11 4:00,0,0,0.1278,0.37483137
2019-01-11 5:00,0,0,0.1151,0.37483137
2019-01-11 6:00,0.001,0,0.1019,0.37483137
2019-01-11 7:00,0.122,0,0.0813,0.37483137
2019-01-11 8:00,0.284,0,0.0656,0.37483137
2019-01-11 9:00,0.418,0,0.0661,0.37483137
2019-01-11 10:00,0.493,0,0.04,0.37483137
2019-01-11 11:00,0.505,0,0.0192,0.37483137
2019-01-11 12:00,0.459,0,0.0087,0.37483137
2019-01-11 13:00,0.349,0,0.0046,0.37483137
2019-01-11 14:00,0.164,0,0.0019,0.37483137
2019-01-11 15:00,0.005,0,0.001,0.37483137
2019-01-11 16:00,0,0,0.0005,0.37483137
2019-01-11 17:00,0,0,0.0003,0.37483137
2019-01-11 18:00,0,0,0.0001,0.37483137
2019-01-11 19:00,0,0,0,0.37483137
2019-01-11 20:00,0,0,0,0.37483137
2019-01-11 21:00,0,0,0,0.37483137
2019-01-11 22:00,0,0,0.0007,0.37483137
2019-01-11 23:00,0,0,0.0069,0.37483137
2019-01-12 0:00,0,0,0.0124,0.494440505
2019-01-12 1:00,0,0,0.0165,0.494440505
2019-01-12 2:00,0,0,0.0254,0.494440505
2019-01-12 3:00,0,0,0.0297,0.494440505
2019-01-12 4:00,0,0,0.02,0.494440505
2019-01-12 5:00,0,0,0.0121,0.494440505
2019-01-12 6:00,0.001,0,0.0101,0.494440505
2019-01-12 7:00,0.113,0,0.0089,0.494440505
2019-01-12 8:00,0.259,0,0.0057,0.494440505
2019-01-12 9:00,0.297,0,0.0068,0.494440505
2019-01-12 10:00,0.299,0,0.0084,0.494440505
2019-01-12 11:00,0.277,0,0.0079,0.494440505
2019-01-12 12:00,0.26,0,0.0073,0.494440505
2019-01-12 13:00,0.223,0,0.006,0.494440505
2019-01-12 14:00,0.11,0,0.0089,0.494440505
2019-01-12 15:00,0.002,0,0.008,0.494440505
2019-01-12 16:00,0,0,0.0047,0.494440505
2019-01-12 17:00,0,0,0.0049,0.494440505
2019-01-12 18:00,0,0,0.0097,0.494440505
2019-01-12 19:00,0,0,0.0204,0.494440505
2019-01-12 20:00,0,0,0.0191,0.494440505
2019-01-12 21:00,0,0,0.009,0.494440505
2019-01-12 22:00,0,0,0.0155,0.494440505
2019-01-12 23:00,0,0,0.0238,0.494440505
2019-01-13 0:00,0,0,0.0144,0.49991558
2019-01-13 1:00,0,0,0.0064,0.49991558
2019-01-13 2:00,0,0,0.0018,0.49991558
2019-01-13 3:00,0,0,0.0018,0.49991558
2019-01-13 4:00,0,0,0.0052,0.49991558
2019-01-13 5:00,0,0,0.0056,0.49991558
2019-01-13 6:00,0,0,0.0071,0.49991558
2019-01-13 7:00,0.076,0,0.0065,0.49991558
2019-01-13 8:00,0.261,0,0.0002,0.49991558
2019-01-13 9:00,0.405,0,0.0001,0.49991558
2019-01-13 10:00,0.463,0,0.0019,0.49991558
2019-01-13 11:00,0.438,0,0.0085,0.49991558
2019-01-13 12:00,0.273,0,0.0144,0.49991558
2019-01-13 13:00,0.128,0,0.0278,0.49991558
2019-01-13 14:00,0.032,0,0.0407,0.49991558
2019-01-13 15:00,0,0,0.0313,0.49991558
2019-01-13 16:00,0,0,0.0301,0.49991558
2019-01-13 17:00,0,0,0.0498,0.49991558
2019-01-13 18:00,0,0,0.0654,0.49991558
2019-01-13 19:00,0,0,0.0675,0.49991558
2019-01-13 20:00,0,0,0.0748,0.49991558
2019-01-13 21:00,0,0,0.0684,0.49991558
2019-01-13 22:00,0,0,0.0689,0.49991558
2019-01-13 23:00,0,0,0.0551,0.49991558
2019-01-14 0:00,0,0,0.043,0.399871025
2019-01-14 1:00,0,0,0.0438,0.399871025
2019-01-14 2:00,0,0,0.0404,0.399871025
2019-01-14 3:00,0,0,0.0214,0.399871025
2019-01-14 4:00,0,0,0.0006,0.399871025
2019-01-14 5:00,0,0,0,0.399871025
2019-01-14 6:00,0.001,0,0.0002,0.399871025
2019-01-14 7:00,0.112,0,0.0087,0.399871025
2019-01-14 8:00,0.263,0,0.011,0.399871025
2019-01-14 9:00,0.37,0,0.0026,0.399871025
2019-01-14 10:00,0.442,0,0.0094,0.399871025
2019-01-14 11:00,0.462,0,0.01,0.399871025
2019-01-14 12:00,0.419,0,0.005,0.399871025
2019-01-14 13:00,0.318,0,0.0048,0.399871025
2019-01-14 14:00,0.147,0,0.0075,0.399871025
2019-01-14 15:00,0.004,0,0.011,0.399871025
2019-01-14 16:00,0,0,0.0104,0.399871025
2019-01-14 17:00,0,0,0.013,0.399871025
2019-01-14 18:00,0,0,0.0658,0.399871025
2019-01-14 19:00,0,0,0.2278,0.399871025
2019-01-14 20:00,0,0,0.3175,0.399871025
2019-01-14 21:00,0,0,0.2772,0.399871025
2019-01-14 22:00,0,0,0.1903,0.399871025
2019-01-14 23:00,0,0,0.1338,0.399871025
2019-01-15 0:00,0,0,0.1104,0.452227727
2019-01-15 1:00,0,0,0.1105,0.452227727
2019-01-15 2:00,0,0,0.1185,0.452227727
2019-01-15 3:00,0,0,0.1059,0.452227727
2019-01-15 4:00,0,0,0.0759,0.452227727
2019-01-15 5:00,0,0,0.0524,0.452227727
2019-01-15 6:00,0.001,0,0.0426,0.452227727
2019-01-15 7:00,0.091,0,0.0388,0.452227727
2019-01-15 8:00,0.241,0,0.0418,0.452227727
2019-01-15 9:00,0.391,0,0.0455,0.452227727
2019-01-15 10:00,0.473,0,0.0358,0.452227727
2019-01-15 11:00,0.491,0,0.025,0.452227727
2019-01-15 12:00,0.449,0,0.0258,0.452227727
2019-01-15 13:00,0.338,0,0.0255,0.452227727
2019-01-15 14:00,0.144,0,0.0412,0.452227727
2019-01-15 15:00,0.007,0,0.0685,0.452227727
2019-01-15 16:00,0,0,0.0969,0.452227727
2019-01-15 17:00,0,0,0.0997,0.452227727
2019-01-15 18:00,0,0,0.0848,0.452227727
2019-01-15 19:00,0,0,0.0809,0.452227727
2019-01-15 20:00,0,0,0.0711,0.452227727
2019-01-15 21:00,0,0,0.065,0.452227727
2019-01-15 22:00,0,0,0.0566,0.452227727
2019-01-15 23:00,0,0,0.0509,0.452227727
2019-01-16 0:00,0,0,0.0436,0.367148896
2019-01-16 1:00,0,0,0.0416,0.367148896
2019-01-16 2:00,0,0,0.0432,0.367148896
2019-01-16 3:00,0,0,0.0454,0.367148896
2019-01-16 4:00,0,0,0.0534,0.367148896
2019-01-16 5:00,0,0,0.0651,0.367148896
2019-01-16 6:00,0.003,0,0.0715,0.367148896
2019-01-16 7:00,0.124,0,0.0627,0.367148896
2019-01-16 8:00,0.259,0,0.0441,0.367148896
2019-01-16 9:00,0.34,0,0.0644,0.367148896
2019-01-16 10:00,0.367,0,0.0925,0.367148896
2019-01-16 11:00,0.362,0,0.1033,0.367148896
2019-01-16 12:00,0.311,0,0.0879,0.367148896
2019-01-16 13:00,0.238,0,0.07,0.367148896
2019-01-16 14:00,0.105,0,0.0614,0.367148896
2019-01-16 15:00,0.001,0,0.0697,0.367148896
2019-01-16 16:00,0,0,0.0671,0.367148896
2019-01-16 17:00,0,0,0.0672,0.367148896
2019-01-16 18:00,0,0,0.0789,0.367148896
2019-01-16 19:00,0,0,0.0947,0.367148896
2019-01-16 20:00,0,0,0.1059,0.367148896
2019-01-16 21:00,0,0,0.0992,0.367148896
