UK,PHOT,WTOF,WTON,HROR
2019-01-01 00:00:00,0.0,0.5602,0.5746,0.34340146289716
2019-01-01 01:00:00,0.0,0.5699,0.5204,0.34340146289716
2019-01-01 02:00:00,0.0,0.5606,0.4542,0.34340146289716
2019-01-01 03:00:00,0.0,0.5571,0.3947,0.34340146289716
2019-01-01 04:00:00,0.0,0.5313,0.3547,0.34340146289716
2019-01-01 05:00:00,0.0,0.4986,0.3401,0.34340146289716
2019-01-01 06:00:00,0.0,0.4596,0.3256,0.34340146289716
2019-01-01 07:00:00,0.0,0.4197,0.3162,0.34340146289716
2019-01-01 08:00:00,0.002,0.3989,0.3052,0.34340146289716
2019-01-01 09:00:00,0.057,0.375,0.2869,0.34340146289716
2019-01-01 10:00:00,0.136,0.3556,0.2582,0.34340146289716
2019-01-01 11:00:00,0.194,0.349,0.2378,0.34340146289716
2019-01-01 12:00:00,0.208,0.3682,0.233,0.34340146289716
2019-01-01 13:00:00,0.177,0.3845,0.2296,0.34340146289716
2019-01-01 14:00:00,0.099,0.3975,0.2314,0.34340146289716
2019-01-01 15:00:00,0.015,0.4195,0.2369,0.34340146289716
2019-01-01 16:00:00,0.0,0.4298,0.2358,0.34340146289716
2019-01-01 17:00:00,0.0,0.4453,0.2265,0.34340146289716
2019-01-01 18:00:00,0.0,0.4551,0.2126,0.34340146289716
2019-01-01 19:00:00,0.0,0.4642,0.1973,0.34340146289716
2019-01-01 20:00:00,0.0,0.4584,0.1795,0.34340146289716
2019-01-01 21:00:00,0.0,0.4407,0.1617,0.34340146289716
2019-01-01 22:00:00,0.0,0.4132,0.1436,0.34340146289716
2019-01-01 23:00:00,0.0,0.3884,0.1281,0.34340146289716
2019-01-02 00:00:00,0.0,0.3742,0.1152,0.41062173450139
2019-01-02 01:00:00,0.0,0.3605,0.1031,0.41062173450139
2019-01-02 02:00:00,0.0,0.3367,0.0916,0.41062173450139
2019-01-02 03:00:00,0.0,0.3153,0.0852,0.41062173450139
2019-01-02 04:00:00,0.0,0.3032,0.0836,0.41062173450139
2019-01-02 05:00:00,0.0,0.3004,0.0845,0.41062173450139
2019-01-02 06:00:00,0.0,0.2985,0.0861,0.41062173450139
2019-01-02 07:00:00,0.0,0.2903,0.0863,0.41062173450139
2019-01-02 08:00:00,0.006,0.2708,0.0838,0.41062173450139
2019-01-02 09:00:00,0.077,0.2352,0.0737,0.41062173450139
2019-01-02 10:00:00,0.174,0.1999,0.0597,0.41062173450139
2019-01-02 11:00:00,0.232,0.1772,0.0507,0.41062173450139
2019-01-02 12:00:00,0.234,0.1634,0.0468,0.41062173450139
2019-01-02 13:00:00,0.184,0.1538,0.043,0.41062173450139
2019-01-02 14:00:00,0.099,0.1492,0.0418,0.41062173450139
2019-01-02 15:00:00,0.018000000000000002,0.1513,0.0445,0.41062173450139
2019-01-02 16:00:00,0.0,0.1528,0.0481,0.41062173450139
2019-01-02 17:00:00,0.0,0.1492,0.052000000000000005,0.41062173450139
2019-01-02 18:00:00,0.0,0.1413,0.0551,0.41062173450139
2019-01-02 19:00:00,0.0,0.1338,0.0568,0.41062173450139
2019-01-02 20:00:00,0.0,0.1317,0.0571,0.41062173450139
2019-01-02 21:00:00,0.0,0.134,0.0584,0.41062173450139
2019-01-02 22:00:00,0.0,0.1359,0.0621,0.41062173450139
2019-01-02 23:00:00,0.0,0.1341,0.0654,0.41062173450139
2019-01-03 00:00:00,0.0,0.1295,0.0656,0.39458489043601497
2019-01-03 01:00:00,0.0,0.1242,0.0624,0.39458489043601497
2019-01-03 02:00:00,0.0,0.1201,0.0594,0.39458489043601497
2019-01-03 03:00:00,0.0,0.1163,0.0607,0.39458489043601497
2019-01-03 04:00:00,0.0,0.1127,0.0662,0.39458489043601497
