,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
AT_COMC_GAS,AT_COMC_GAS,357.50508533135206,3.0,AT,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
AT_GTUR_GAS,AT_GTUR_GAS,57.76111217988387,7.0,AT,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
AT_STUR_GAS,AT_STUR_GAS,92.22694747550324,4.0,AT,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
AT_STUR_HRD,AT_STUR_HRD,146.6815173116089,1.0,AT,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
AT_HDAM_WAT,AT_HDAM_WAT,5238.42,1,AT,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,1735630.76,,,,0,0
AT_HPHS_WAT,AT_HPHS_WAT,3589.3,1,AT,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,17946.5,0.0,3589.3,0.8,0,0
AT_HROR_WAT,AT_HROR_WAT,4730.1803682581085,1,AT,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
AT_WTOF_WIN,AT_WTOF_WIN,3132.713,1,AT,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
AT_PHOT_SUN,AT_PHOT_SUN,1437.6409999999998,1,AT,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
AT_STUR_HRD_CHP,AT_STUR_HRD_CHP,459.15924134419555,2.0,AT,AT_th,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.256,,,,,,,,,0,0
AT_STUR_OIL_CHP,AT_STUR_OIL_CHP,134.6988141708632,1.0,AT,AT_th,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,Extraction,0.45,0.11,,,,,,,,,0,0
AT_COMC_GAS_CHP,AT_COMC_GAS_CHP,396.06495586015734,6.0,AT,AT_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
AT_GTUR_GAS_CHP,AT_GTUR_GAS_CHP,50.49580357420564,4.0,AT,AT_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
AT_ICEN_GAS_CHP,AT_ICEN_GAS_CHP,8.64004201186594,3.0,AT,AT_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
AT_STUR_GAS_CHP,AT_STUR_GAS_CHP,97.17087549532627,5.0,AT,AT_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
AT_BATS_OTH,AT_BATS_OTH,462.0,1,AT,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,513333.3333333334,0.0,462.0,0.95,0,0
