,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
BE_STUR_NUC,BE_STUR_NUC,986.5,6.0,BE,,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.9,0.34,40,0.0,,,,,,,,,,,,0,0
BE_COMC_GAS,BE_COMC_GAS,351.59389469295144,6.0,BE,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
BE_GTUR_GAS,BE_GTUR_GAS,61.49838795027282,5.0,BE,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
BE_STUR_GAS,BE_STUR_GAS,27.667186451011617,1.0,BE,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
BE_ICEN_BIO,BE_ICEN_BIO,17.641847668329547,1.0,BE,,ICEN,BIO,0.46,0,0,0.04,0.24,8,0,0.8,0.15,0.49,0,0.0,,,,,,,,,,,,0,0
BE_STUR_BIO,BE_STUR_BIO,170.78506760867316,1.0,BE,,STUR,BIO,0.44,4,6,0.02,0.23,57,0,1.8,0.2,0.35,10,0.0,,,,,,,,,,,,0,0
BE_HPHS_WAT,BE_HPHS_WAT,1308.0,1.0,BE,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,6540.0,0.0,1308.0,0.8,0,0
BE_HROR_WAT,BE_HROR_WAT,59.015339742579165,1.0,BE,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
BE_WTOF_WIN,BE_WTOF_WIN,2074.8,1.0,BE,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
BE_WTON_WIN,BE_WTON_WIN,1185.9,1.0,BE,,WTON,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
BE_PHOT_SUN,BE_PHOT_SUN,3986.5,1.0,BE,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
BE_STUR_BIO_CHP,BE_STUR_BIO_CHP,63.60077229143221,1.0,BE,BE_th,STUR,BIO,0.44,4,6,0.02,0.23,57,0,1.8,0.2,0.35,10,0.0,Extraction,0.45,0.238,,,,,,,,,0,0
BE_COMC_GAS_CHP,BE_COMC_GAS_CHP,316.87197773022416,3.0,BE,BE_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
BE_GTUR_GAS_CHP,BE_GTUR_GAS_CHP,62.61275985330395,8.0,BE,BE_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
BE_ICEN_GAS_CHP,BE_ICEN_GAS_CHP,9.61722906317107,15.0,BE,BE_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
BE_STUR_GAS_CHP,BE_STUR_GAS_CHP,80.13760630822418,3.0,BE,BE_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
BE_BATS_OTH,BE_BATS_OTH,7045.999999999999,1.0,BE,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,28183.999999999996,0.0,7045.999999999999,0.95,0,0
