,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
BG_STUR_LIG,BG_STUR_LIG,542.1111111111111,9.0,BG,,STUR,LIG,0.4,8,8,0.02,0.23,49,0,1.8,0.4,0.395,10,0.848,,,,,,,,,,,,0,0
BG_STUR_NUC,BG_STUR_NUC,1000.0,2.0,BG,,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.9,0.34,40,0.0,,,,,,,,,,,,0,0
BG_STUR_GAS,BG_STUR_GAS,71.86184243732694,1.0,BG,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
BG_STUR_HRD,BG_STUR_HRD,451.0929031165312,1.0,BG,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
BG_HDAM_WAT,BG_HDAM_WAT,1499.54,1.0,BG,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,2240914.0,,,,0,0
BG_HPHS_WAT,BG_HPHS_WAT,1399.0,1.0,BG,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,6995.0,0.0,1399.0,0.8,0,0
BG_HROR_WAT,BG_HROR_WAT,22.4,1.0,BG,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
BG_WTOF_WIN,BG_WTOF_WIN,698.92,1.0,BG,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
BG_PHOT_SUN,BG_PHOT_SUN,1032.679,1.0,BG,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
BG_STUR_HRD_CHP,BG_STUR_HRD_CHP,90.90709688346884,1.0,BG,BG_th,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.256,,,,,,,,,0,0
BG_COMC_GAS_CHP,BG_COMC_GAS_CHP,14.277187239204029,1.0,BG,BG_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
BG_GTUR_GAS_CHP,BG_GTUR_GAS_CHP,25.83219077813316,1.0,BG,BG_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
BG_ICEN_GAS_CHP,BG_ICEN_GAS_CHP,8.655313773155099,2.0,BG,BG_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
BG_STUR_GAS_CHP,BG_STUR_GAS_CHP,112.07591982775163,2.0,BG,BG_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
BG_BATS_OTH,BG_BATS_OTH,798.0,1.0,BG,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,3192.0,0.0,798.0,0.95,0,0
