,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
CZ_STUR_LIG,CZ_STUR_LIG,593.4545454545455,11.0,CZ,,STUR,LIG,0.4,8,8,0.02,0.23,49,0,1.8,0.4,0.395,10,0.848,,,,,,,,,,,,0,0
CZ_STUR_NUC,CZ_STUR_NUC,984.0,4.0,CZ,,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.9,0.34,40,0.0,,,,,,,,,,,,0,0
CZ_COMC_GAS,CZ_COMC_GAS,47.6769150945737,1.0,CZ,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
CZ_GTUR_GAS,CZ_GTUR_GAS,53.05221008012002,4.0,CZ,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
CZ_COMC_HRD,CZ_COMC_HRD,28.055512173824614,1,CZ,,COMC,HRD,1.0,0,0,0.02,0.02,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
CZ_STUR_HRD,CZ_STUR_HRD,402.39933437441107,1.0,CZ,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
CZ_HDAM_WAT,CZ_HDAM_WAT,711.4839022845104,1,CZ,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,3557.4195114225518,,,,0,0
CZ_HPHS_WAT,CZ_HPHS_WAT,1172.509551667839,1,CZ,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,5862.547758339196,0.0,1172.509551667839,0.8,0,0
CZ_HROR_WAT,CZ_HROR_WAT,40.226382271496,1,CZ,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
CZ_WTOF_WIN,CZ_WTOF_WIN,316.2,1,CZ,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
CZ_PHOT_SUN,CZ_PHOT_SUN,2075.072,1,CZ,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
CZ_STUR_HRD_CHP,CZ_STUR_HRD_CHP,640.5451534517643,1.0,CZ,CZ_th,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.256,,,,,,,,,0,0
CZ_COMC_GAS_CHP,CZ_COMC_GAS_CHP,322.151806528567,1.0,CZ,CZ_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
CZ_GTUR_GAS_CHP,CZ_GTUR_GAS_CHP,62.284348765109826,2.0,CZ,CZ_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
CZ_ICEN_GAS_CHP,CZ_ICEN_GAS_CHP,8.574773891232507,5.0,CZ,CZ_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
CZ_STUR_GAS_CHP,CZ_STUR_GAS_CHP,75.51247614308917,1.0,CZ,CZ_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
CZ_BATS_OTH,CZ_BATS_OTH,3409.0,1,CZ,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,3787777.7777777775,0.0,3409.0,0.95,0,0
