,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
DE_STUR_LIG,DE_STUR_LIG,596.1714285714286,35.0,DE,,STUR,LIG,0.4,8,8,0.02,0.23,49,0,1.8,0.4,0.395,10,0.848,,,,,,,,,,,,0,0
DE_STUR_NUC,DE_STUR_NUC,952.6,10.0,DE,,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.9,0.34,40,0.0,,,,,,,,,,,,0,0
DE_COMC_GAS,DE_COMC_GAS,411.74087176388895,15.0,DE,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
DE_GTUR_GAS,DE_GTUR_GAS,60.788959955520205,19.0,DE,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
DE_ICEN_GAS,DE_ICEN_GAS,9.549193168429069,18.0,DE,,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,,,,,,,,,,,,0,0
DE_STUR_GAS,DE_STUR_GAS,118.90212538475872,31.0,DE,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
DE_STUR_HRD,DE_STUR_HRD,733.5835346955939,17.0,DE,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
DE_GTUR_OIL,DE_GTUR_OIL,64.57548285787267,7.0,DE,,GTUR,OIL,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.755,,,,,,,,,,,,0,0
DE_STUR_OIL,DE_STUR_OIL,328.7757818804768,1.0,DE,,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,,,,,,,,,,,,0,0
DE_HDAM_WAT,DE_HDAM_WAT,189.5,1.0,DE,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,1735630.76,,,,0,0
DE_HPHS_WAT,DE_HPHS_WAT,7880.72,1.0,DE,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,39403.6,0.0,7880.72,0.8,0,0
DE_HROR_WAT,DE_HROR_WAT,2675.407049999997,1.0,DE,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
DE_WTOF_WIN,DE_WTOF_WIN,52447.0,1.0,DE,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
DE_WTON_WIN,DE_WTON_WIN,6396.0,1.0,DE,,WTON,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
DE_PHOT_SUN,DE_PHOT_SUN,45179.0,1.0,DE,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
DE_STUR_HRD_CHP,DE_STUR_HRD_CHP,740.425258430258,19.0,DE,DE_th,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.256,,,,,,,,,0,0
DE_STUR_OIL_CHP,DE_STUR_OIL_CHP,333.5538287964404,1.0,DE,DE_th,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,Extraction,0.45,0.11,,,,,,,,,0,0
DE_COMC_GAS_CHP,DE_COMC_GAS_CHP,397.0071515623524,8.0,DE,DE_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
DE_GTUR_GAS_CHP,DE_GTUR_GAS_CHP,62.78163577117098,45.0,DE,DE_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
DE_ICEN_GAS_CHP,DE_ICEN_GAS_CHP,9.98284178678657,54.0,DE,DE_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
DE_STUR_GAS_CHP,DE_STUR_GAS_CHP,113.65228009664158,18.0,DE,DE_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
DE_BATS_OTH,DE_BATS_OTH,43443.0,1.0,DE,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,173772.0,0.0,43443.0,0.95,0,0
