,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
DK_COMC_GAS,DK_COMC_GAS,8.086621976172594,1.0,DK,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
DK_GTUR_GAS,DK_GTUR_GAS,39.11980363155743,1.0,DK,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
DK_STUR_GAS,DK_STUR_GAS,10.478518455648668,1.0,DK,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
DK_STUR_HRD,DK_STUR_HRD,143.67988338192436,1.0,DK,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
DK_GTUR_OIL,DK_GTUR_OIL,56.43310583206057,2.0,DK,,GTUR,OIL,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.755,,,,,,,,,,,,0,0
DK_ICEN_OIL,DK_ICEN_OIL,9.34131865878397,12.0,DK,,ICEN,OIL,0.46,0,0,1.0,1.0,8,0,0.8,0.0,0.49,0,0.627,,,,,,,,,,,,0,0
DK_STUR_OIL,DK_STUR_OIL,269.195214289968,1.0,DK,,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,,,,,,,,,,,,0,0
DK_WTOF_WIN,DK_WTOF_WIN,4419.824,1,DK,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
DK_WTON_WIN,DK_WTON_WIN,1700.8,1,DK,,WTON,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
DK_PHOT_SUN,DK_PHOT_SUN,998.0,1,DK,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
DK_STUR_HRD_CHP,DK_STUR_HRD_CHP,684.5800291545189,4.0,DK,DK_th,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.256,,,,,,,,,0,0
DK_STUR_OIL_CHP,DK_STUR_OIL_CHP,21.78034006527923,1.0,DK,DK_th,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,Extraction,0.45,0.11,,,,,,,,,0,0
DK_COMC_WST_CHP,DK_COMC_WST_CHP,166.95867442584702,1,DK,DK_th,COMC,WST,1.0,0,0,0.02,0.02,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
DK_STUR_WST_CHP,DK_STUR_WST_CHP,47.612743091013556,7.0,DK,DK_th,STUR,WST,0.44,5,6,0.02,0.23,57,0,1.8,0.4,0.2,2,0.162,Extraction,0.4,0.23,,,,,,,,,0,0
DK_COMC_GAS_CHP,DK_COMC_GAS_CHP,85.06098026989119,1.0,DK,DK_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
DK_GTUR_GAS_CHP,DK_GTUR_GAS_CHP,42.93957261316276,2.0,DK,DK_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
DK_ICEN_GAS_CHP,DK_ICEN_GAS_CHP,9.80438504402094,21.0,DK,DK_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
DK_STUR_GAS_CHP,DK_STUR_GAS_CHP,103.66747592121739,3.0,DK,DK_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
DK_BATS_OTH,DK_BATS_OTH,4834.0,1,DK,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,5371111.111111111,0.0,4834.0,0.95,0,0
