,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
EL_STUR_LIG,EL_STUR_LIG,593.75,8.0,EL,,STUR,LIG,0.4,8,8,0.02,0.23,49,0,1.8,0.4,0.395,10,0.848,,,,,,,,,,,,0,0
EL_COMC_GAS,EL_COMC_GAS,418.9178547530464,8.0,EL,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
EL_GTUR_GAS,EL_GTUR_GAS,54.03080684274544,4.0,EL,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
EL_STUR_GAS,EL_STUR_GAS,109.3914707812631,4.0,EL,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
EL_HDAM_WAT,EL_HDAM_WAT,2586.2,1.0,EL,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,12931.0,,,,0,0
EL_HPHS_WAT,EL_HPHS_WAT,699.0,1.0,EL,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,3495.0,0.0,699.0,0.8,0,0
EL_HROR_WAT,EL_HROR_WAT,110.1,1.0,EL,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
EL_WTOF_WIN,EL_WTOF_WIN,2877.495,1.0,EL,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
EL_PHOT_SUN,EL_PHOT_SUN,2651.57,1.0,EL,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
EL_COMC_GAS_CHP,EL_COMC_GAS_CHP,213.4635131794373,1.0,EL,EL_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
EL_GTUR_GAS_CHP,EL_GTUR_GAS_CHP,55.42501186250664,1.0,EL,EL_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
EL_ICEN_GAS_CHP,EL_ICEN_GAS_CHP,7.804338661431864,4.0,EL,EL_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
EL_STUR_GAS_CHP,EL_STUR_GAS_CHP,93.862171791923,1.0,EL,EL_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
EL_BATS_OTH,EL_BATS_OTH,2029.0,1.0,EL,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,8116.0,0.0,2029.0,0.95,0,0
