,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
ES_STUR_NUC,ES_STUR_NUC,889.6500000000001,8.0,ES,,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.9,0.34,40,0.0,,,,,,,,,,,,0,0
ES_COMC_GAS,ES_COMC_GAS,413.1669674163818,46.0,ES,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
ES_GTUR_GAS,ES_GTUR_GAS,55.70122208178018,5.0,ES,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
ES_ICEN_GAS,ES_ICEN_GAS,9.716465437225358,17.0,ES,,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,,,,,,,,,,,,0,0
ES_STUR_GAS,ES_STUR_GAS,115.26361537583377,3.0,ES,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
ES_STUR_HRD,ES_STUR_HRD,730.7748102958041,13.0,ES,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
ES_HDAM_WAT,ES_HDAM_WAT,8370.735,1.0,ES,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,13674197.4,,,,0,0
ES_HPHS_WAT,ES_HPHS_WAT,7568.272,1.0,ES,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,37841.36,0.0,7568.272,0.8,0,0
ES_HROR_WAT,ES_HROR_WAT,147.00824749999987,1.0,ES,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
ES_WTOF_WIN,ES_WTOF_WIN,23400.055,1.0,ES,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
ES_PHOT_SUN,ES_PHOT_SUN,4763.535440000001,1.0,ES,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
ES_SCSP_SUN,ES_SCSP_SUN,144.00153500000002,16.0,ES,,SCSP,SUN,0.25,5,5,0.02,0.22,1,0,0.0,0.0,0.2,1,0.0,,,,,,,,1152.01228,0.03,0.0,0.95,0,0
ES_COMC_GAS_CHP,ES_COMC_GAS_CHP,395.6614182169234,5.0,ES,ES_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
ES_GTUR_GAS_CHP,ES_GTUR_GAS_CHP,62.563903936582605,34.0,ES,ES_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
ES_ICEN_GAS_CHP,ES_ICEN_GAS_CHP,9.944004982747394,140.0,ES,ES_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
ES_BATS_OTH,ES_BATS_OTH,14056.000000000002,1.0,ES,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,56224.00000000001,0.0,14056.000000000002,0.95,0,0
