,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
FI_STUR_NUC,FI_STUR_NUC,870.4,5.0,FI,,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.9,0.34,40,0.0,,,,,,,,,,,,0,0
FI_COMC_GAS,FI_COMC_GAS,278.790886498539,1.0,FI,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
FI_GTUR_GAS,FI_GTUR_GAS,43.09553779843827,2.0,FI,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
FI_STUR_HRD,FI_STUR_HRD,600.2934236795935,3.0,FI,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
FI_GTUR_OIL,FI_GTUR_OIL,62.63589620875545,5.0,FI,,GTUR,OIL,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.755,,,,,,,,,,,,0,0
FI_ICEN_OIL,FI_ICEN_OIL,8.312409365342178,2.0,FI,,ICEN,OIL,0.46,0,0,1.0,1.0,8,0,0.8,0.0,0.49,0,0.627,,,,,,,,,,,,0,0
FI_STUR_OIL,FI_STUR_OIL,102.1267119281303,1.0,FI,,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,,,,,,,,,,,,0,0
FI_HDAM_WAT,FI_HDAM_WAT,1345.0,1.0,FI,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,4512000.0,,,,0,0
FI_HROR_WAT,FI_HROR_WAT,1289.6,1.0,FI,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
FI_WTOF_WIN,FI_WTOF_WIN,1968.3,1.0,FI,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
FI_WTON_WIN,FI_WTON_WIN,72.7,1.0,FI,,WTON,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
FI_PHOT_SUN,FI_PHOT_SUN,140.0,1.0,FI,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
FI_STUR_HRD_CHP,FI_STUR_HRD_CHP,484.0598644806098,2.0,FI,FI_th,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.256,,,,,,,,,0,0
FI_ICEN_BIO_CHP,FI_ICEN_BIO_CHP,24.864864864864863,37.0,FI,FI_th,ICEN,BIO,0.46,0,0,0.04,0.24,8,0,0.8,0.15,0.49,0,0.0,back-pressure,0.75,0.0,,,,,,,,,0,0
FI_STUR_BIO_CHP,FI_STUR_BIO_CHP,153.33333333333334,6.0,FI,FI_th,STUR,BIO,0.44,4,6,0.02,0.23,57,0,1.8,0.2,0.35,10,0.0,Extraction,0.45,0.238,,,,,,,,,0,0
FI_GTUR_OIL_CHP,FI_GTUR_OIL_CHP,13.598690518772436,1.0,FI,FI_th,GTUR,OIL,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.755,back-pressure,0.55,0.0,,,,,,,,,0,0
FI_STUR_OIL_CHP,FI_STUR_OIL_CHP,295.1748694101375,1.0,FI,FI_th,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,Extraction,0.45,0.11,,,,,,,,,0,0
