,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
FR_STUR_NUC,FR_STUR_NUC,1002.063492063492,63.0,FR,,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.9,0.34,40,0.0,,,,,,,,,,,,0,0
FR_COMC_GAS,FR_COMC_GAS,408.3214213701663,8.0,FR,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
FR_GTUR_GAS,FR_GTUR_GAS,61.54201807398317,4.0,FR,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
FR_STUR_GAS,FR_STUR_GAS,98.19907352962736,2.0,FR,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
FR_STUR_HRD,FR_STUR_HRD,688.2158090659656,4.0,FR,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
FR_GTUR_OIL,FR_GTUR_OIL,68.31521562424757,8.0,FR,,GTUR,OIL,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.755,,,,,,,,,,,,0,0
FR_ICEN_OIL,FR_ICEN_OIL,9.876611891024137,21.0,FR,,ICEN,OIL,0.46,0,0,1.0,1.0,8,0,0.8,0.0,0.49,0,0.627,,,,,,,,,,,,0,0
FR_STUR_OIL,FR_STUR_OIL,364.728582193069,4.0,FR,,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,,,,,,,,,,,,0,0
FR_HDAM_WAT,FR_HDAM_WAT,9079.63821656051,1.0,FR,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,2845905.0,,,,0,0
FR_HPHS_WAT,FR_HPHS_WAT,5304.0,1.0,FR,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,26520.0,0.0,5304.0,0.8,0,0
FR_HROR_WAT,FR_HROR_WAT,6211.502562490507,1.0,FR,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
FR_WTOF_WIN,FR_WTOF_WIN,14898.146,1.0,FR,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
FR_PHOT_SUN,FR_PHOT_SUN,9617.025,1.0,FR,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
FR_STUR_HRD_CHP,FR_STUR_HRD_CHP,177.13676373613754,1.0,FR,FR_th,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.256,,,,,,,,,0,0
FR_GTUR_GAS_CHP,FR_GTUR_GAS_CHP,63.33157051033871,30.0,FR,FR_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
FR_ICEN_GAS_CHP,FR_ICEN_GAS_CHP,9.753165322997264,38.0,FR,FR_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
FR_STUR_GAS_CHP,FR_STUR_GAS_CHP,111.3020226947446,5.0,FR,FR_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
FR_BATS_OTH,FR_BATS_OTH,33370.0,1.0,FR,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,133480.0,0.0,33370.0,0.95,0,0
