,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
HR_COMC_GAS,HR_COMC_GAS,262.82878452459363,1.0,HR,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
HR_GTUR_GAS,HR_GTUR_GAS,56.32045382669867,1.0,HR,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
HR_STUR_HRD,HR_STUR_HRD,343.5,1.0,HR,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
HR_ICEN_OIL,HR_ICEN_OIL,9.311850166356932,2.0,HR,,ICEN,OIL,0.46,0,0,1.0,1.0,8,0,0.8,0.0,0.49,0,0.627,,,,,,,,,,,,0,0
HR_STUR_OIL,HR_STUR_OIL,246.4460350126935,1.0,HR,,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,,,,,,,,,,,,0,0
HR_HDAM_WAT,HR_HDAM_WAT,1327.6244585987265,1.0,HR,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,1247290.0,,,,0,0
HR_HPHS_WAT,HR_HPHS_WAT,518.7,1.0,HR,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,2593.5,0.0,518.7,0.8,0,0
HR_HROR_WAT,HR_HROR_WAT,278.66773029167683,1.0,HR,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
HR_WTOF_WIN,HR_WTOF_WIN,586.3,1.0,HR,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
HR_PHOT_SUN,HR_PHOT_SUN,67.7,1.0,HR,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
HR_GTUR_OIL_CHP,HR_GTUR_OIL_CHP,15.899744194367322,1.0,HR,HR_th,GTUR,OIL,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.755,back-pressure,0.55,0.0,,,,,,,,,0,0
HR_STUR_OIL_CHP,HR_STUR_OIL_CHP,79.53052046022535,1.0,HR,HR_th,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,Extraction,0.45,0.11,,,,,,,,,0,0
HR_COMC_GAS_CHP,HR_COMC_GAS_CHP,292.03198280510406,3.0,HR,HR_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
HR_GTUR_GAS_CHP,HR_GTUR_GAS_CHP,52.196962229490566,5.0,HR,HR_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
HR_BATS_OTH,HR_BATS_OTH,647.0,1.0,HR,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,2588.0,0.0,647.0,0.95,0,0
