,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
HU_STUR_LIG,HU_STUR_LIG,591.0,2.0,HU,,STUR,LIG,0.4,8,8,0.02,0.23,49,0,1.8,0.4,0.395,10,0.848,,,,,,,,,,,,0,0
HU_STUR_NUC,HU_STUR_NUC,949.7,2.0,HU,,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.9,0.34,40,0.0,,,,,,,,,,,,0,0
HU_COMC_GAS,HU_COMC_GAS,383.5491633375333,4.0,HU,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
HU_GTUR_GAS,HU_GTUR_GAS,60.21927698651119,14.0,HU,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
HU_STUR_GAS,HU_STUR_GAS,62.21808067179795,1.0,HU,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
HU_STUR_BIO,HU_STUR_BIO,12.316172219358007,1.0,HU,,STUR,BIO,0.44,4,6,0.02,0.23,57,0,1.8,0.2,0.35,10,0.0,,,,,,,,,,,,0,0
HU_GTUR_OIL,HU_GTUR_OIL,66.14642943448408,5.0,HU,,GTUR,OIL,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.755,,,,,,,,,,,,0,0
HU_ICEN_OIL,HU_ICEN_OIL,8.876349405243841,3.0,HU,,ICEN,OIL,0.46,0,0,1.0,1.0,8,0,0.8,0.0,0.49,0,0.627,,,,,,,,,,,,0,0
HU_HDAM_WAT,HU_HDAM_WAT,28.0,1.0,HU,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,140.0,,,,0,0
HU_HROR_WAT,HU_HROR_WAT,19.7,1.0,HU,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
HU_WTOF_WIN,HU_WTOF_WIN,329.0,1.0,HU,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
HU_PHOT_SUN,HU_PHOT_SUN,726.0,1.0,HU,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
HU_STUR_BIO_CHP,HU_STUR_BIO_CHP,117.61944469486907,1.0,HU,HU_th,STUR,BIO,0.44,4,6,0.02,0.23,57,0,1.8,0.2,0.35,10,0.0,Extraction,0.45,0.238,,,,,,,,,0,0
HU_STUR_OIL_CHP,HU_STUR_OIL_CHP,52.6388046118481,1.0,HU,HU_th,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,Extraction,0.45,0.11,,,,,,,,,0,0
HU_COMC_GAS_CHP,HU_COMC_GAS_CHP,340.6812034488304,1.0,HU,HU_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
HU_GTUR_GAS_CHP,HU_GTUR_GAS_CHP,49.99674284797235,3.0,HU,HU_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
HU_ICEN_GAS_CHP,HU_ICEN_GAS_CHP,9.90187857525231,42.0,HU,HU_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
HU_STUR_GAS_CHP,HU_STUR_GAS_CHP,69.06505601356794,1.0,HU,HU_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
HU_BATS_OTH,HU_BATS_OTH,2742.0,1.0,HU,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,10968.0,0.0,2742.0,0.95,0,0
