,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
IE_COMC_GAS,IE_COMC_GAS,398.3986081431923,7.0,IE,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
IE_GTUR_GAS,IE_GTUR_GAS,58.62799905430469,7.0,IE,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
IE_STUR_GAS,IE_STUR_GAS,117.92467653785275,6.0,IE,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
IE_STUR_HRD,IE_STUR_HRD,427.5,2.0,IE,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
IE_GTUR_OIL,IE_GTUR_OIL,66.05282231197405,7.0,IE,,GTUR,OIL,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.755,,,,,,,,,,,,0,0
IE_STUR_OIL,IE_STUR_OIL,363.0415799181991,2.0,IE,,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,,,,,,,,,,,,0,0
IE_HPHS_WAT,IE_HPHS_WAT,292.0,1,IE,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,1460.0,0.0,292.0,0.8,0,0
IE_HROR_WAT,IE_HROR_WAT,216.0,1,IE,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
IE_WTOF_WIN,IE_WTOF_WIN,3650.934,1,IE,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
IE_WTON_WIN,IE_WTON_WIN,25.2,1,IE,,WTON,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
IE_PHOT_SUN,IE_PHOT_SUN,24.231,1,IE,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
IE_GTUR_GAS_CHP,IE_GTUR_GAS_CHP,50.853318098036,4.0,IE,IE_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
IE_ICEN_GAS_CHP,IE_ICEN_GAS_CHP,8.950805999420139,3.0,IE,IE_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
IE_BATS_OTH,IE_BATS_OTH,3604.0,1,IE,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,4004444.4444444445,0.0,3604.0,0.95,0,0
