,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
IT_STUR_GEO,IT_STUR_GEO,39.285714285714285,21.0,IT,,STUR,GEO,0.4,2,2,0.02,0.23,57,0,1.8,0.2,0.38,2,0.0,,,,,,,,,,,,0,0
IT_COMC_GAS,IT_COMC_GAS,413.2287695155021,55.0,IT,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
IT_GTUR_GAS,IT_GTUR_GAS,63.812477439856046,29.0,IT,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
IT_ICEN_GAS,IT_ICEN_GAS,9.668758163910127,18.0,IT,,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,,,,,,,,,,,,0,0
IT_STUR_GAS,IT_STUR_GAS,117.55811013450432,39.0,IT,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
IT_COMC_BIO,IT_COMC_BIO,198.84047764175102,1.0,IT,,COMC,BIO,0.54,4,2,0.02,0.225,60,0,0.5,0.35,0.57,2,0.0,,,,,,,,,,,,0,0
IT_STUR_BIO,IT_STUR_BIO,97.71465665936698,2.0,IT,,STUR,BIO,0.44,4,6,0.02,0.23,57,0,1.8,0.2,0.35,10,0.0,,,,,,,,,,,,0,0
IT_STUR_HRD,IT_STUR_HRD,708.1903550010015,12.0,IT,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
IT_COMC_OIL,IT_COMC_OIL,229.30008890177447,1.0,IT,,COMC,OIL,0.55,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.48,,,,,,,,,,,,0,0
IT_GTUR_OIL,IT_GTUR_OIL,57.14158318044008,5.0,IT,,GTUR,OIL,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.755,,,,,,,,,,,,0,0
IT_STUR_OIL,IT_STUR_OIL,331.6704791823201,3.0,IT,,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,,,,,,,,,,,,0,0
IT_HDAM_WAT,IT_HDAM_WAT,5528.24,1,IT,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,4485036.0,,,,0,0
IT_HPHS_WAT,IT_HPHS_WAT,7962.599999999999,1,IT,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,39813.0,0.0,7962.599999999999,0.8,0,0
IT_HROR_WAT,IT_HROR_WAT,5901.959999999999,1,IT,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
IT_WTOF_WIN,IT_WTOF_WIN,10230.246,1,IT,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
IT_PHOT_SUN,IT_PHOT_SUN,20107.589,1,IT,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
