,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
LT_COMC_GAS,LT_COMC_GAS,352.13640065566165,1.0,LT,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
LT_STUR_GAS,LT_STUR_GAS,109.9281167499464,4.0,LT,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
LT_HDAM_WAT,LT_HDAM_WAT,101.0,1.0,LT,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,12096.7,,,,0,0
LT_HPHS_WAT,LT_HPHS_WAT,900.0,1.0,LT,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,4500.0,0.0,900.0,0.8,0,0
LT_WTOF_WIN,LT_WTOF_WIN,533.0,1.0,LT,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
LT_PHOT_SUN,LT_PHOT_SUN,82.0,1.0,LT,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
LT_COMC_GAS_CHP,LT_COMC_GAS_CHP,26.426719266687115,1.0,LT,LT_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
LT_GTUR_GAS_CHP,LT_GTUR_GAS_CHP,16.122790456658805,1.0,LT,LT_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
LT_ICEN_GAS_CHP,LT_ICEN_GAS_CHP,5.129987898369315,1.0,LT,LT_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
LT_STUR_GAS_CHP,LT_STUR_GAS_CHP,112.57860578713957,6.0,LT,LT_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
LT_BATS_OTH,LT_BATS_OTH,0.0,1.0,LT,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,0.0,0.0,0.0,0.95,0,0
