,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
NL_STUR_NUC,NL_STUR_NUC,492.0,1.0,NL,,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.9,0.34,40,0.0,,,,,,,,,,,,0,0
NL_COMC_GAS,NL_COMC_GAS,414.43724224704357,14.0,NL,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
NL_GTUR_GAS,NL_GTUR_GAS,62.69111772138021,8.0,NL,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
NL_STUR_GAS,NL_STUR_GAS,107.05596256630477,8.0,NL,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
NL_STUR_HRD,NL_STUR_HRD,690.4978902953586,6.0,NL,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
NL_WTOF_WIN,NL_WTOF_WIN,3436.0,1,NL,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
NL_WTON_WIN,NL_WTON_WIN,957.0,1,NL,,WTON,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
NL_PHOT_SUN,NL_PHOT_SUN,4522.0,1,NL,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
NL_STUR_HRD_CHP,NL_STUR_HRD_CHP,485.5063291139241,2.0,NL,NL_th,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.256,,,,,,,,,0,0
NL_COMC_GAS_CHP,NL_COMC_GAS_CHP,367.86297138790513,7.0,NL,NL_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
NL_GTUR_GAS_CHP,NL_GTUR_GAS_CHP,63.35302499520447,24.0,NL,NL_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
NL_ICEN_GAS_CHP,NL_ICEN_GAS_CHP,9.541385383791228,21.0,NL,NL_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
NL_STUR_GAS_CHP,NL_STUR_GAS_CHP,101.73512268067235,3.0,NL,NL_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
NL_BATS_OTH,NL_BATS_OTH,10626.999999999998,1,NL,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,11807777.777777778,0.0,10626.999999999998,0.95,0,0
