,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
PL_STUR_LIG,PL_STUR_LIG,594.6,15.0,PL,,STUR,LIG,0.4,8,8,0.02,0.23,49,0,1.8,0.4,0.395,10,0.848,,,,,,,,,,,,0,0
PL_COMC_GAS,PL_COMC_GAS,245.3355711336837,2.0,PL,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
PL_STUR_BIO,PL_STUR_BIO,35.746300082956,1.0,PL,,STUR,BIO,0.44,4,6,0.02,0.23,57,0,1.8,0.2,0.35,10,0.0,,,,,,,,,,,,0,0
PL_STUR_HRD,PL_STUR_HRD,756.6803363250295,11.0,PL,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
PL_HDAM_WAT,PL_HDAM_WAT,412.5063694267516,1.0,PL,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,2062.5318471337578,,,,0,0
PL_HPHS_WAT,PL_HPHS_WAT,1705.0,1.0,PL,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,8525.0,0.0,1705.0,0.8,0,0
PL_WTOF_WIN,PL_WTOF_WIN,5766.078,1.0,PL,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
PL_PHOT_SUN,PL_PHOT_SUN,561.976,1.0,PL,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
PL_STUR_HRD_CHP,PL_STUR_HRD_CHP,726.7635187765422,16.0,PL,PL_th,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.256,,,,,,,,,0,0
PL_STUR_BIO_CHP,PL_STUR_BIO_CHP,148.23988272563724,2.0,PL,PL_th,STUR,BIO,0.44,4,6,0.02,0.23,57,0,1.8,0.2,0.35,10,0.0,Extraction,0.45,0.238,,,,,,,,,0,0
PL_STUR_OIL_CHP,PL_STUR_OIL_CHP,207.5,2.0,PL,PL_th,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,Extraction,0.45,0.11,,,,,,,,,0,0
PL_COMC_GAS_CHP,PL_COMC_GAS_CHP,330.27461750041783,3.0,PL,PL_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
PL_GTUR_GAS_CHP,PL_GTUR_GAS_CHP,53.12048453242367,3.0,PL,PL_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
PL_ICEN_GAS_CHP,PL_ICEN_GAS_CHP,9.38344688267942,15.0,PL,PL_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
PL_STUR_GAS_CHP,PL_STUR_GAS_CHP,68.26728935893804,2.0,PL,PL_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
PL_BATS_OTH,PL_BATS_OTH,4562.0,1.0,PL,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,18248.0,0.0,4562.0,0.95,0,0
