,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
PT_COMC_GAS,PT_COMC_GAS,406.4762587852612,8.0,PT,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
PT_STUR_HRD,PT_STUR_HRD,585.3333333333334,3.0,PT,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
PT_HDAM_WAT,PT_HDAM_WAT,1330.4,1.0,PT,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,2897771.0,,,,0,0
PT_HPHS_WAT,PT_HPHS_WAT,3895.0,1.0,PT,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,19475.0,0.0,3895.0,0.8,0,0
PT_HROR_WAT,PT_HROR_WAT,1615.5,1.0,PT,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
PT_WTOF_WIN,PT_WTOF_WIN,5172.359,1.0,PT,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
PT_PHOT_SUN,PT_PHOT_SUN,667.431,1.0,PT,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
PT_COMC_GAS_CHP,PT_COMC_GAS_CHP,53.07723654630291,1.0,PT,PT_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
PT_GTUR_GAS_CHP,PT_GTUR_GAS_CHP,54.59657267465375,5.0,PT,PT_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
PT_ICEN_GAS_CHP,PT_ICEN_GAS_CHP,9.599683083986507,20.0,PT,PT_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
PT_STUR_GAS_CHP,PT_STUR_GAS_CHP,58.13616065462241,1.0,PT,PT_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
PT_BATS_OTH,PT_BATS_OTH,5429.0,1.0,PT,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,21716.0,0.0,5429.0,0.95,0,0
