,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
RO_STUR_LIG,RO_STUR_LIG,583.8375,8.0,RO,,STUR,LIG,0.4,8,8,0.02,0.23,49,0,1.8,0.4,0.395,10,0.848,,,,,,,,,,,,0,0
RO_STUR_NUC,RO_STUR_NUC,677.25,2.0,RO,,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.9,0.34,40,0.0,,,,,,,,,,,,0,0
RO_STUR_GAS,RO_STUR_GAS,109.60679247061476,7.0,RO,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
RO_STUR_HRD,RO_STUR_HRD,414.6619167365186,2.0,RO,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
RO_HDAM_WAT,RO_HDAM_WAT,5303.480127388536,1.0,RO,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,2641200.0,,,,0,0
RO_HROR_WAT,RO_HROR_WAT,870.4499999999999,1.0,RO,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
RO_WTOF_WIN,RO_WTOF_WIN,3032.258,1.0,RO,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
RO_PHOT_SUN,RO_PHOT_SUN,1385.82,1.0,RO,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
RO_STUR_HRD_CHP,RO_STUR_HRD_CHP,504.6761665269629,1.0,RO,RO_th,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.256,,,,,,,,,0,0
RO_COMC_GAS_CHP,RO_COMC_GAS_CHP,312.1903813128544,2.0,RO,RO_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
RO_GTUR_GAS_CHP,RO_GTUR_GAS_CHP,54.28056011863438,2.0,RO,RO_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
RO_ICEN_GAS_CHP,RO_ICEN_GAS_CHP,9.91591470472946,8.0,RO,RO_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
RO_STUR_GAS_CHP,RO_STUR_GAS_CHP,117.09895217146172,16.0,RO,RO_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
RO_BATS_OTH,RO_BATS_OTH,1622.9999999999998,1.0,RO,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,6491.999999999999,0.0,1622.9999999999998,0.95,0,0
