,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
SE_STUR_NUC,SE_STUR_NUC,934.8888888888889,9.0,SE,,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.9,0.34,40,0.0,,,,,,,,,,,,0,0
SE_GTUR_GAS,SE_GTUR_GAS,45.353828533140074,3.0,SE,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
SE_STUR_GAS,SE_STUR_GAS,68.29633967622878,1.0,SE,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
SE_GTUR_OIL,SE_GTUR_OIL,67.22226288303706,12.0,SE,,GTUR,OIL,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.755,,,,,,,,,,,,0,0
SE_ICEN_OIL,SE_ICEN_OIL,8.866932188922183,5.0,SE,,ICEN,OIL,0.46,0,0,1.0,1.0,8,0,0.8,0.0,0.49,0,0.627,,,,,,,,,,,,0,0
SE_STUR_OIL,SE_STUR_OIL,257.160912050427,2.0,SE,,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,,,,,,,,,,,,0,0
SE_HDAM_WAT,SE_HDAM_WAT,11645.763516863035,1,SE,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,30694000.0,,,,0,0
SE_HPHS_WAT,SE_HPHS_WAT,92.0,1,SE,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,460.0,0.0,92.0,0.8,0,0
SE_HROR_WAT,SE_HROR_WAT,1995.0,1,SE,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
SE_WTOF_WIN,SE_WTOF_WIN,7097.0,1,SE,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
SE_WTON_WIN,SE_WTON_WIN,203.0,1,SE,,WTON,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
SE_PHOT_SUN,SE_PHOT_SUN,492.0,1,SE,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
SE_STUR_HRD_CHP,SE_STUR_HRD_CHP,126.2558606831882,1.0,SE,SE_th,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.256,,,,,,,,,0,0
SE_STUR_BIO_CHP,SE_STUR_BIO_CHP,102.94506250646234,2.0,SE,SE_th,STUR,BIO,0.44,4,6,0.02,0.23,57,0,1.8,0.2,0.35,10,0.0,Extraction,0.45,0.238,,,,,,,,,0,0
SE_GTUR_OIL_CHP,SE_GTUR_OIL_CHP,62.07332359837891,2.0,SE,SE_th,GTUR,OIL,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.755,back-pressure,0.55,0.0,,,,,,,,,0,0
SE_STUR_OIL_CHP,SE_STUR_OIL_CHP,316.51673991523626,2.0,SE,SE_th,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,Extraction,0.45,0.11,,,,,,,,,0,0
SE_COMC_GAS_CHP,SE_COMC_GAS_CHP,295.1919570450333,1.0,SE,SE_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
SE_GTUR_GAS_CHP,SE_GTUR_GAS_CHP,58.84109647246407,1.0,SE,SE_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
SE_STUR_GAS_CHP,SE_STUR_GAS_CHP,105.47990238884223,1.0,SE,SE_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
SE_BATS_OTH,SE_BATS_OTH,21506.0,1,SE,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,23895555.555555556,0.0,21506.0,0.95,0,0
