,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
SK_STUR_LIG,SK_STUR_LIG,330.0,1.0,SK,,STUR,LIG,0.4,8,8,0.02,0.23,49,0,1.8,0.4,0.395,10,0.848,,,,,,,,,,,,0,0
SK_STUR_NUC,SK_STUR_NUC,970.0,2.0,SK,,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.9,0.34,40,0.0,,,,,,,,,,,,0,0
SK_COMC_GAS,SK_COMC_GAS,231.6874036551244,1.0,SK,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
SK_GTUR_GAS,SK_GTUR_GAS,55.49721529413446,1.0,SK,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
SK_STUR_HRD,SK_STUR_HRD,132.0114041886397,1.0,SK,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
SK_HDAM_WAT,SK_HDAM_WAT,792.0,1.0,SK,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,1735630.76,,,,0,0
SK_HPHS_WAT,SK_HPHS_WAT,1021.28,1.0,SK,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,5106.4,0.0,1021.28,0.8,0,0
SK_HROR_WAT,SK_HROR_WAT,641.3300000000002,1.0,SK,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
SK_PHOT_SUN,SK_PHOT_SUN,472.0,1.0,SK,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
SK_STUR_HRD_CHP,SK_STUR_HRD_CHP,87.9885958113603,1.0,SK,SK_th,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.256,,,,,,,,,0,0
SK_COMC_GAS_CHP,SK_COMC_GAS_CHP,139.55125010855167,1.0,SK,SK_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
SK_GTUR_GAS_CHP,SK_GTUR_GAS_CHP,46.42728205027105,3.0,SK,SK_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
SK_ICEN_GAS_CHP,SK_ICEN_GAS_CHP,9.103768380181965,1.0,SK,SK_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
SK_BATS_OTH,SK_BATS_OTH,340.99999999999994,1.0,SK,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,1363.9999999999998,0.0,340.99999999999994,0.95,0,0
