,Unit,PowerCapacity,Nunits,Zone,Zone_th,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption
UK_STUR_NUC,UK_STUR_NUC,976.181818181818,11.0,UK,,STUR,NUC,0.44,24,10,0.05,0.05,198,0,1.8,0.9,0.34,40,0.0,,,,,,,,,,,,0,0
UK_COMC_GAS,UK_COMC_GAS,418.20171737269055,67.0,UK,,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,,,,,,,,,,,,0,0
UK_GTUR_GAS,UK_GTUR_GAS,63.71256701079868,28.0,UK,,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,,,,,,,,,,,,0,0
UK_ICEN_GAS,UK_ICEN_GAS,9.717119925542924,30.0,UK,,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,,,,,,,,,,,,0,0
UK_STUR_GAS,UK_STUR_GAS,118.5285675195473,20.0,UK,,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,,,,,,,,,,,,0,0
UK_STUR_BIO,UK_STUR_BIO,163.0491849480331,9.0,UK,,STUR,BIO,0.44,4,6,0.02,0.23,57,0,1.8,0.2,0.35,10,0.0,,,,,,,,,,,,0,0
UK_STUR_HRD,UK_STUR_HRD,762.4682423704709,20.0,UK,,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,,,,,,,,,,,,0,0
UK_GTUR_OIL,UK_GTUR_OIL,64.76650166070509,13.0,UK,,GTUR,OIL,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.755,,,,,,,,,,,,0,0
UK_ICEN_OIL,UK_ICEN_OIL,9.879693538534834,42.0,UK,,ICEN,OIL,0.46,0,0,1.0,1.0,8,0,0.8,0.0,0.49,0,0.627,,,,,,,,,,,,0,0
UK_HDAM_WAT,UK_HDAM_WAT,524.0,1.0,UK,,HDAM,WAT,0.8,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,2620.0,,,,0,0
UK_HPHS_WAT,UK_HPHS_WAT,2905.0,1.0,UK,,HPHS,WAT,0.8,0,0,0.067,0.067,1,0,0.0,0.0,1.0,0,0.0,,,,,,,,14525.0,0.0,2905.0,0.8,0,0
UK_HROR_WAT,UK_HROR_WAT,848.475,1.0,UK,,HROR,WAT,1.0,0,0,0.067,0.067,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
UK_WTOF_WIN,UK_WTOF_WIN,13553.878,1.0,UK,,WTOF,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
UK_WTON_WIN,UK_WTON_WIN,8216.5,1.0,UK,,WTON,WIN,1.0,0,0,0.02,0.1,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
UK_PHOT_SUN,UK_PHOT_SUN,13118.344,1.0,UK,,PHOT,SUN,1.0,0,0,0.02,0.12,0,0,0.0,0.0,1.0,0,0.0,,,,,,,,,,,,0,0
UK_STUR_HRD_CHP,UK_STUR_HRD_CHP,138.6351525905823,1.0,UK,UK_th,STUR,HRD,0.43,8,8,0.02,0.23,50,0,1.8,0.38,0.46,6,0.788,Extraction,0.45,0.256,,,,,,,,,0,0
UK_ICEN_BIO_CHP,UK_ICEN_BIO_CHP,22.850713502808382,5.0,UK,UK_th,ICEN,BIO,0.46,0,0,0.04,0.24,8,0,0.8,0.15,0.49,0,0.0,back-pressure,0.75,0.0,,,,,,,,,0,0
UK_STUR_BIO_CHP,UK_STUR_BIO_CHP,139.6116416572794,3.0,UK,UK_th,STUR,BIO,0.44,4,6,0.02,0.23,57,0,1.8,0.2,0.35,10,0.0,Extraction,0.45,0.238,,,,,,,,,0,0
UK_STUR_OIL_CHP,UK_STUR_OIL_CHP,146.60649996702298,1.0,UK,UK_th,STUR,OIL,0.44,2,2,0.05,0.23,49,0,1.4,0.38,0.33,2,0.627,Extraction,0.45,0.11,,,,,,,,,0,0
UK_COMC_GAS_CHP,UK_COMC_GAS_CHP,381.3748274899468,5.0,UK,UK_th,COMC,GAS,0.57,4,2,0.05,0.25,60,0,0.5,0.35,0.57,2,0.353,Extraction,0.95,0.213,,,,,,,,,0,0
UK_GTUR_GAS_CHP,UK_GTUR_GAS_CHP,61.32757444113365,23.0,UK,UK_th,GTUR,GAS,0.35,0,0,0.21,0.41,25,0,0.8,0.15,0.33,0,0.574,back-pressure,0.55,0.0,,,,,,,,,0,0
UK_ICEN_GAS_CHP,UK_ICEN_GAS_CHP,9.97287760193711,61.0,UK,UK_th,ICEN,GAS,0.46,0,0,0.167,0.367,8,0,0.8,0.15,0.49,0,0.457,back-pressure,0.75,0.0,,,,,,,,,0,0
UK_STUR_GAS_CHP,UK_STUR_GAS_CHP,91.673557064042,4.0,UK,UK_th,STUR,GAS,0.43,1,2,0.05,0.23,57,0,1.4,0.38,0.38,2,0.457,Extraction,0.4666,0.23,,,,,,,,,0,0
UK_BATS_OTH,UK_BATS_OTH,22728.0,1.0,UK,,BATS,OTH,0.95,0,0,1.0,1.0,0,0,0.0,0.0,0.95,0,0.0,,,,,,,,90912.0,0.0,22728.0,0.95,0,0
