date,AT,BE,BG,CZ,DK,DE,EE,IE,ES,FR,HR,IT,LV,LT,LU,HU,NL,PL,PT,RO,SI,SK,FI,SE,NO,CH,UK,EL
2019-01-01 00:00:00,-2.508,5.348,-2.0180000000000002,0.32,7.332999999999999,4.75,-0.48,8.147,4.533,3.812,-0.963,2.611,-1.339,-1.992,2.609,-3.1860000000000004,7.196000000000001,0.43799999999999994,5.175,0.0024,-1.2229999999999999,-4.938,-3.548,-0.617,-7.011,-3.355,6.81,4.147
2019-01-01 01:00:00,-2.4459999999999997,5.337999999999999,-2.052,0.503,7.468999999999999,4.717,0.057,7.997999999999999,4.297,3.7289999999999996,-1.177,2.4419999999999997,-0.843,-1.569,2.707,-3.111,7.278,0.665,4.729,-4.093,-1.33,-4.827,-3.293,-0.772,-7.0329999999999995,-3.5189999999999997,6.655,4.056
2019-01-01 02:00:00,-2.367,5.341,-2.069,0.72,7.364,4.68,0.47600000000000003,7.8660000000000005,4.1160000000000005,3.6430000000000002,-1.297,2.279,-0.359,-1.0859999999999999,2.819,-2.886,7.364,0.8740000000000001,4.345,-4.2219999999999995,-1.194,-4.738,-3.1310000000000002,-1.091,-6.995,-3.5789999999999997,6.417000000000001,3.955
2019-01-01 03:00:00,-2.338,5.355,-2.144,0.9690000000000001,6.997000000000001,4.619,0.73,7.72,3.9389999999999996,3.55,-1.256,2.123,-0.073,-0.631,2.9160000000000004,-2.708,7.415,1.034,4.052,-4.404,-1.03,-5.171,-3.077,-1.379,-6.903,-3.469,6.207000000000001,3.864
2019-01-01 04:00:00,-2.396,5.391,-2.295,1.268,6.585,4.566,0.91,7.728,3.766,3.466,-1.187,2.023,0.2,-0.22399999999999998,2.998,-2.656,7.502999999999999,1.22,3.7760000000000002,-4.612,-0.9640000000000001,-5.801,-3.102,-1.608,-6.795,-3.17,6.011,3.795
2019-01-01 05:00:00,-2.521,5.377000000000001,-2.396,1.501,6.21,4.532,1.01,7.784,3.603,3.407,-1.193,1.97,0.43799999999999994,0.19,3.17,-2.805,7.598,1.444,3.528,-4.78,-1.203,-6.121,-3.167,-1.817,-6.721,-2.819,5.794,3.733
2019-01-01 06:00:00,-2.5789999999999997,5.394,-1.765,1.736,5.956,4.534,1.092,7.8229999999999995,3.492,3.325,-1.34,2.0140000000000002,0.596,0.467,3.207,-3.0469999999999997,7.749,1.766,3.364,-4.521,-1.6880000000000002,-6.03,-3.261,-2.012,-6.6979999999999995,-2.407,5.569,3.888
2019-01-01 07:00:00,-2.156,5.4670000000000005,-0.32799999999999996,2.066,5.906000000000001,4.558,1.161,7.817,3.49,3.301,-0.5,3.0,0.821,0.653,3.014,-1.777,7.821000000000001,2.23,3.267,-3.092,-1.263,-4.706,-3.3960000000000004,-2.154,-6.686,-2.088,5.355,4.407
2019-01-01 08:00:00,-0.792,5.6770000000000005,1.104,2.6319999999999997,5.847,4.724,1.264,7.794,5.096,4.032,1.099,4.803999999999999,1.023,0.883,3.472,-0.17800000000000002,7.814,2.833,4.409,-1.324,0.648,-2.7910000000000004,-3.47,-2.184,-6.6979999999999995,-1.35,5.182,5.037
2019-01-01 09:00:00,0.498,5.995,2.287,3.327,5.877000000000001,4.985,1.3869999999999998,7.904,8.014,5.051,2.949,6.23,1.234,1.126,4.035,1.6869999999999998,7.941,3.4360000000000004,7.399,0.044000000000000004,2.39,-1.37,-3.5180000000000002,-2.136,-6.718999999999999,-0.40399999999999997,5.501,5.645
2019-01-01 10:00:00,1.365,6.29,3.111,3.8989999999999996,5.882000000000001,5.256,1.474,8.209,10.064,5.952999999999999,4.545,7.343999999999999,1.3840000000000001,1.318,4.408,3.179,8.231,3.886,9.538,0.975,3.58,-0.43,-3.467,-2.0580000000000003,-6.718999999999999,0.88,6.042000000000001,6.12
2019-01-01 11:00:00,1.845,6.575,3.497,4.228,5.7010000000000005,5.484,1.4809999999999999,8.467,12.082,6.671,5.4239999999999995,8.044,1.469,1.421,4.625,3.676,8.493,4.1530000000000005,11.856,1.42,4.002,0.293,-3.429,-2.02,-6.747999999999999,1.703,6.48,6.41
2019-01-01 12:00:00,1.959,6.86,3.34,4.295,5.419,5.539,1.47,8.647,13.677,7.082000000000001,5.6579999999999995,8.327,1.469,1.4669999999999999,4.559,3.707,8.548,4.239,13.827,1.296,3.8939999999999997,0.758,-3.484,-2.093,-6.806,1.858,6.6979999999999995,6.462000000000001
2019-01-01 13:00:00,1.6540000000000001,7.087000000000001,2.4019999999999997,4.122,5.0969999999999995,5.317,1.454,8.731,14.231,7.159,5.229,8.185,1.382,1.419,4.466,3.147,8.274,4.075,14.831,0.26,3.2119999999999997,0.805,-3.533,-2.2569999999999997,-6.897,1.479,6.607,6.2010000000000005
2019-01-01 14:00:00,0.72,7.077999999999999,-0.106,3.766,4.765,4.817,1.435,8.641,13.985,6.766,3.569,7.192,1.305,1.338,4.446000000000001,1.629,7.586,3.707,15.102,-1.956,1.217,0.47600000000000003,-3.528,-2.465,-7.039,0.21600000000000003,6.023,5.255
2019-01-01 15:00:00,-0.43700000000000006,6.421,-1.5190000000000001,3.423,4.543,4.252,1.396,8.193,12.433,5.5,2.024,5.025,1.248,1.33,4.507,0.8,6.605,3.425,14.652000000000001,-3.0839999999999996,-0.9840000000000001,0.39799999999999996,-3.6210000000000004,-2.6489999999999996,-7.2379999999999995,-1.869,4.7219999999999995,4.211
2019-01-01 16:00:00,-0.903,5.696000000000001,-1.9040000000000001,3.135,4.578,3.8819999999999997,1.327,7.672000000000001,9.327,4.262,1.307,3.758,1.216,1.3559999999999999,4.637,0.706,6.0920000000000005,3.159,12.742,-3.425,-1.393,0.52,-3.853,-2.864,-7.502000000000001,-3.2230000000000003,3.762,3.947
