CapacityRatio,ShareFlex,ShareStorage,ShareWind,SharePV,rNTC,Cost_[E/MWh],Congestion_[h],PeakLoad_[MW],MaxCurtailment_[MW],MaxLoadShedding_[MW],Demand_[TWh],NetImports_[TWh],Curtailment_[TWh],ENS_[TWh],CF_gas,CF_nuc,CF_wat,CF_win,CF_sun
1.79,0.18,0.46,0.47,0.45,0.14,4878.107581,0.954490773,440929.4125,2192956.442,4022.596736,2843.122475,0,4936.720458,46.00372786,0.031839588,0.236872923,0.192582002,0.046883376,0.037863972
1.4,0.69,0.49,0.46,0.22,0.15,3529.070998,0.953533247,440929.4125,1134912.254,4905.808746,2843.122475,0,2377.466757,36.9567547,0.120736761,0.471565468,0.199302583,0.070496252,0.075222688
0.51,0.33,0,0.42,0.22,0.69,19244.60134,0.762348807,440929.4125,340397.5395,7344.56316,2843.122475,0,438.2960821,113.3642442,0.051081097,0.591618348,0.183332126,0.133277914,0.10985576
0.75,0.02,0.12,0.34,0.41,0.36,14130.11804,0.870899224,440929.4125,665020.666,4162.221169,2843.122475,0,1120.588425,98.11046356,0.140014431,0.364151104,0.188149321,0.115590283,0.071357486
1.58,0.4,0.06,0.33,0.49,0.36,12888.62099,0.876447529,440929.4125,1857613.658,6703.719669,2843.122475,0,3634.928422,86.15416344,0.045277229,0.320142068,0.202006423,0.071782388,0.038353176
0.7,0.39,0.06,0.2,0.26,0.44,14102.39811,0.823309687,440929.4125,325394.2999,6703.719669,2843.122475,0,390.7592439,91.85216131,0.070430262,0.528592055,0.195110659,0.162555415,0.098890531
0.79,0.31,0.29,0.49,0.27,0.42,6871.630431,0.853530088,440929.4125,667615.355,3482.281843,2843.122475,0,1245.585449,53.42046129,0.03898324,0.389919815,0.192723401,0.102045289,0.089340906
0.67,0.72,0.4,0.48,0.28,0.31,3725.918892,0.895425504,440929.4125,545700.9194,4034.186749,2843.122475,0,920.2544168,37.3088415,0.137501164,0.630461738,0.198329041,0.119756776,0.100103922
1.6,0.46,0.14,0.15,0.45,0.49,8173.280034,0.843461481,440929.4125,1479346.509,4303.53095,2843.122475,0,2410.914682,61.19032174,0.048656912,0.352669957,0.198426333,0.125793016,0.043993754
1.27,0.57,0.37,0.14,0.39,0.57,3787.488041,0.835609281,440929.4125,951241.3768,3482.281843,2843.122475,0,1386.1064,30.89085624,0.07041254,0.449800211,0.195641887,0.150833448,0.061219368
1.06,0.63,0.09,0.27,0.36,0.27,9680.39546,0.899646882,440929.4125,826353.0244,6703.719669,2843.122475,0,1392.246347,72.48907801,0.108152793,0.471044915,0.200994994,0.114292832,0.067759688
0.95,0.75,0.13,0.02,0.47,0.01,10175.56941,0.994218389,440929.4125,735259.2218,5882.251013,2843.122475,0,917.0957025,76.92154124,0.170152896,0.569188449,0.203058941,0.188810041,0.067673562
1.28,0.62,0.25,0.13,0.21,0.05,8352.170848,0.981974691,440929.4125,493658.724,4905.808746,2843.122475,0,684.2942239,66.66673292,0.137934177,0.518142447,0.20066583,0.153394924,0.085258925
0.84,0.54,0.47,0.11,0.28,0.64,3125.993352,0.797381142,440929.4125,375551.7703,3482.281843,2843.122475,0,365.4048102,22.56293501,0.085233679,0.612970217,0.200793469,0.193051188,0.096941987
0.88,0.59,0.49,0.33,0.25,0.47,2873.390431,0.844265901,440929.4125,544781.7989,3482.281843,2843.122475,0,897.4086731,25.26593493,0.106658698,0.515498848,0.200636009,0.127316349,0.092998889
0.54,0.59,0.2,0.09,0.2,0.16,8640.230117,0.925113676,440929.4125,130168.9748,4475.418228,2843.122475,0,86.90058412,68.52929146,0.177674362,0.695647331,0.199511336,0.208639586,0.122511903
0.75,0.25,0.16,0.36,0.44,0.06,13973.61541,0.975826109,440929.4125,727382.2022,4682.848074,2843.122475,0,1279.833008,92.963041,0.045488352,0.350193107,0.197655834,0.10704394,0.071373055
0.63,0.55,0.43,0.5,0.39,0.6,3336.211112,0.816339674,440929.4125,587094.2196,3482.281843,2843.122475,0,1036.956153,25.70095814,0.086789959,0.481825223,0.19799108,0.121557236,0.089155854
1.37,0.42,0.33,0.06,0.46,0.57,4966.214246,0.820830812,440929.4125,1165369.769,3482.281843,2843.122475,0,1623.838819,37.4008351,0.037584129,0.423202988,0.194445492,0.176217436,0.052627764
0.56,0.85,0.34,0.35,0.27,0,6921.364867,0.997956143,440929.4125,332351.6913,7194.684264,2843.122475,0,466.5643606,61.12296528,0.191876856,0.865672791,0.199068279,0.152662479,0.10802284
0.59,0.21,0.11,0.31,0.33,0.68,11701.65074,0.76742807,440929.4125,381822.454,4820.144808,2843.122475,0,514.0195406,76.055316,0.022241697,0.456142978,0.184778768,0.1510844,0.098063766
1.31,0.86,0.09,0.27,0.48,0.34,9627.447114,0.888387443,440929.4125,1365083.935,6496.062659,2843.122475,0,2402.418497,71.47302292,0.112850417,0.60454204,0.198937822,0.10314163,0.049550438
1.76,0.66,0.21,0.4,0.5,0.44,5417.278622,0.881011575,440929.4125,2203206.81,3482.281843,2843.122475,0,4572.159907,47.16972074,0.072344393,0.340741511,0.191619986,0.06394685,0.036919592
1.48,0.95,0.19,0.15,0.24,0.25,9445.989534,0.833196023,440929.4125,699882.5283,4905.808746,2843.122475,0,970.8562486,72.98886413,0.172756603,0.784063231,0.183998785,0.135702666,0.077349242
1.21,0.45,0.23,0.17,0.34,0.19,8589.554141,0.933340138,440929.4125,817868.1745,3854.911094,2843.122475,0,1289.807418,66.47208974,0.075506631,0.385159917,0.197416249,0.132900129,0.064613818
1.28,0.65,0.15,0.25,0.49,0.29,7805.543545,0.906884224,440929.4125,1359362.592,4076.058359,2843.122475,0,2377.885253,62.4690886,0.09040673,0.404822622,0.197556864,0.105988373,0.048650381
0.96,0.48,0.37,0.03,0.23,0.46,4638.934133,0.83632135,440929.4125,304111.7965,3482.281843,2843.122475,0,254.0573785,38.60887479,0.091476295,0.628995412,0.198636471,0.206390306,0.100845381
0.53,0.35,0.03,0.48,0.2,0.55,17550.54439,0.787256639,440929.4125,386079.0566,6703.719669,2843.122475,0,547.832581,107.034018,0.065678853,0.550319843,0.188049745,0.129742002,0.110596038
0.79,0.11,0.29,0.47,0.35,0.65,5958.923632,0.803573468,440929.4125,730853.8606,3482.281843,2843.122475,0,1375.478942,45.6806336,0.035390489,0.354339889,0.186129677,0.103161128,0.07777533
1.49,0.04,0.13,0.19,0.22,0.51,11863.26459,0.833120685,440929.4125,743370.9831,4162.221169,2843.122475,0,1279.195116,81.75805693,0.078658404,0.356002012,0.183270365,0.109686017,0.072023303
1.23,0.75,0.13,0.41,0.38,0.31,7515.351658,0.903085713,440929.4125,1204647.698,4802.794216,2843.122475,0,2403.808128,61.19425943,0.106452919,0.490429581,0.195899388,0.083093401,0.058992007
1.09,0.36,0.42,0.25,0.45,0.12,6203.098809,0.959346452,440929.4125,1060454.795,4164.491305,2843.122475,0,1803.269066,52.35953293,0.056788924,0.321111697,0.197270266,0.11288287,0.055854708
1.35,0.86,0.01,0.19,0.45,0.32,11986.52914,0.88313077,440929.4125,1274897.242,6763.513347,2843.122475,0,1995.920744,85.17940043,0.132845605,0.638310709,0.21509813,0.119331713,0.05027633
1.14,0.19,0.11,0.36,0.35,0.3,13805.96475,0.890769107,440929.4125,982234.0406,3482.281843,2843.122475,0,1949.180003,91.6968528,0.029684092,0.323786967,0.1923159,0.084556455,0.062432883
0.65,0.68,0.35,0.13,0.33,0.3,4350.119486,0.891194405,440929.4125,327697.7979,3922.517611,2843.122475,0,319.9173709,42.41291894,0.14300408,0.678261099,0.198910829,0.191535679,0.100754681
0.51,0.14,0.37,0.19,0.41,0.02,8820.573657,0.987163317,440929.4125,373381.2895,4811.222712,2843.122475,0,420.7334843,69.44612298,0.050140805,0.434408463,0.196740542,0.174513581,0.089783204
1.17,0.79,0.07,0.05,0.34,0.59,6518.650188,0.803731436,440929.4125,651130.5246,7489.919173,2843.122475,0,730.6974686,55.19340402,0.145458989,0.717572748,0.196052437,0.191574643,0.074663588
1.7,0.14,0.31,0.24,0.41,0.67,5100.927205,0.81981739,440929.4125,1575854.211,3482.281843,2843.122475,0,2931.739533,39.09966644,0.027007537,0.269339611,0.185327354,0.091024433,0.043519577
1.03,0.74,0.08,0.29,0.21,0.62,6186.568995,0.813841357,440929.4125,536863.7013,6508.393745,2843.122475,0,869.1555795,51.90299747,0.12577003,0.676493053,0.194108004,0.126175223,0.094246637
1.52,0.2,0.32,0.45,0.44,0.03,8438.449735,0.988696817,440929.4125,1796975.161,4759.548958,2843.122475,0,3919.778866,66.93789079,0.036030558,0.252209263,0.193183577,0.056521027,0.041881624
0.81,0.34,0.31,0.11,0.29,0.54,5835.874227,0.804786173,440929.4125,384371.6277,3482.281843,2843.122475,0,392.2093548,44.51553479,0.038533517,0.500810331,0.194758159,0.187900416,0.093790455
1.43,0.97,0.23,0.23,0.37,0.53,7275.306599,0.748958022,440929.4125,1114976.163,4165.441992,2843.122475,0,1791.81513,55.42996113,0.147736341,0.724468801,0.176204119,0.112371399,0.061163201
1.32,0.23,0.01,0.29,0.32,0.11,19698.66121,0.952704525,440929.4125,1011962.227,6996.515988,2843.122475,0,1890.260202,120.4927424,0.042524036,0.389086604,0.194346268,0.076831159,0.058558755
1.11,0.88,0.05,0.49,0.39,0.7,8634.476891,0.804844499,440929.4125,1128260.088,6703.719669,2843.122475,0,2248.232039,62.46861329,0.11997633,0.686549888,0.195177743,0.085626775,0.063829882
0.91,0.45,0.38,0.01,0.27,0.48,4655.604031,0.828984366,440929.4125,333029.9907,3482.281843,2843.122475,0,297.909971,37.50748479,0.078253923,0.620087873,0.198696196,0.20667865,0.09653991
0.72,0.11,0.24,0.09,0.25,0.52,8500.106778,0.801320608,440929.4125,262854.958,3482.281843,2843.122475,0,229.3195215,62.59854481,0.037721496,0.512618508,0.188706411,0.198650917,0.101889745
0.59,0.02,0.34,0.15,0.46,0.39,5760.118236,0.863076187,440929.4125,460319.0077,4162.221169,2843.122475,0,544.5599251,54.16972905,0.125319612,0.429168469,0.191089682,0.176282512,0.083776863
1.22,0.13,0.36,0.18,0.21,0.49,5367.9669,0.831791327,440929.4125,540925.7501,3482.281843,2843.122475,0,813.9466634,44.16083884,0.032624818,0.386636499,0.191201319,0.14087682,0.081440879
0.89,0.81,0.06,0.07,0.37,0.55,7352.131929,0.812322438,440929.4125,527792.6958,7021.207481,2843.122475,0,536.1605861,60.55490847,0.158966905,0.759395261,0.198057961,0.193136999,0.082923048
1.66,0.44,0.48,0.3,0.25,0.04,5601.272622,0.985454837,440929.4125,1104306.932,4749.444557,2843.122475,0,2299.244918,49.47832441,0.080164674,0.332743875,0.198483472,0.077740806,0.061301833
1.64,0.37,0.44,0.08,0.4,0.1,5998.705145,0.96744168,440929.4125,1293295.672,4331.765913,2843.122475,0,1937.199526,51.38130205,0.058457589,0.333650786,0.19850146,0.150975222,0.047411468
1.34,0.28,0.3,0.17,0.28,0.65,5261.486188,0.799456592,440929.4125,758822.4472,3482.281843,2843.122475,0,1176.495592,39.30171667,0.019220697,0.364221453,0.192304917,0.131103499,0.071412338
0.83,0.28,0.31,0.49,0.5,0.23,7323.674254,0.919550789,440929.4125,999910.4541,3482.281843,2843.122475,0,2003.083995,58.8741605,0.033931147,0.31168266,0.193657067,0.085208049,0.063393712
1.18,0.56,0.41,0.28,0.38,0.68,3285.585485,0.816135531,440929.4125,1024618.348,3482.281843,2843.122475,0,1723.984647,23.9385125,0.063680835,0.408028937,0.196236258,0.113446304,0.06320927
0.57,0.89,0.45,0.11,0.32,0.2,4146.796824,0.904252243,440929.4125,249169.3922,10673.33754,2843.122475,0,182.8340474,42.08863916,0.224080441,0.919630754,0.198768776,0.204706303,0.10919113
0.71,0.26,0.26,0.26,0.42,0.21,8857.303272,0.915941839,440929.4125,596125.8381,3549.475534,2843.122475,0,881.0061077,67.28146748,0.036231819,0.379293403,0.195506473,0.136977151,0.078282053
1.61,0.48,0.1,0.26,0.3,0.56,8745.035056,0.827015848,440929.4125,1131052.305,5636.58228,2843.122475,0,2130.211299,63.62395449,0.055510093,0.372184537,0.198235893,0.093688907,0.057381948
1.63,0.05,0.05,0.2,0.43,0.02,20282.00389,0.990944816,440929.4125,1557083.879,5112.119552,2843.122475,0,2780.71914,125.7206517,0.079000036,0.298332593,0.200035667,0.085671825,0.039452086
1.04,0.51,0.18,0.41,0.23,0.45,7061.571235,0.84850186,440929.4125,754305.6901,3482.281843,2843.122475,0,1433.82762,56.40716965,0.088345916,0.441232064,0.193949845,0.097558532,0.085419342
1.5,0.77,0.39,0.29,0.31,0.28,3912.340968,0.917762111,440929.4125,1139225.315,4405.095623,2843.122475,0,2167.859414,38.66531575,0.106819352,0.503914627,0.196020047,0.091856839,0.060601227
1.08,0.43,0.39,0.22,0.43,0.5,4608.452917,0.845575816,440929.4125,962562.8944,3482.281843,2843.122475,0,1492.124673,35.82031555,0.045597558,0.372394731,0.195644896,0.130311859,0.061683249
0.54,0.42,0.48,0.3,0.31,0.08,5589.434959,0.964683324,440929.4125,340720.4366,4479.305051,2843.122475,0,461.8744235,49.08079293,0.112339486,0.479347297,0.202239132,0.156059314,0.10153939
1.38,0.17,0.1,0.42,0.29,0.48,12508.54252,0.848132459,440929.4125,1182887.549,3482.281843,2843.122475,0,2528.902204,84.16267881,0.028754335,0.31300571,0.187219522,0.06869458,0.06156049
1.65,0.38,0.38,0.21,0.32,0.34,5461.866757,0.889974409,440929.4125,1192289.458,3482.281843,2843.122475,0,2149.211233,44.85256251,0.041942579,0.315607314,0.194422547,0.100139409,0.053957905
